Author,Pages,FictionNon,Subject,PaperHardback,,
May,318,Fiction,Fiction,Hardback,,278.7142857
Miller,225,Fiction,Fiction,Hardback,,355.1891892
Doyle,316,Fiction,Fiction,Hardback,,372.4333333
Applegate,319,Fiction,Fiction,Paperback,,517.8
Doerr,531,Fiction,Fiction,Hardback,,189.5
Tammet,237,Fiction,Fiction,Paperback,,382.4
Lahiri,198,Fiction,Fiction,Paperback,,376.4444444
Salter,185,Fiction,Fiction,Paperback,,246.75
Sedaris,273,Fiction,Fiction,Paperback,,361.5
Steinbeck,118,Fiction,Fiction,Paperback,,
Niffenegger,546,Fiction,Fiction,Paperback,,
Yalom,286,Fiction,Fiction,Paperback,,
Portis,190,Fiction,Fiction,Paperback,,
Salinger,214,Fiction,Fiction,Paperback,,
Salinger,202,Fiction,Fiction,Paperback,,
Kopp,238,Fiction,Fiction,Paperback,,
Roth,447,Fiction,Fiction,Paperback,,
Steinbeck,115,Fiction,Fiction,Paperback,,
Poe,236,Fiction,Fiction,Paperback,,
Wells,115,Fiction,Fiction,Paperback,,
Dostoyevsky,544,Fiction,Fiction,Paperback,,
McChesney,322,Non Fiction,Business,Paperback,,
Kawasaki,226,Non Fiction,Business,Paperback,,
Werth,455,Non Fiction,Business,Paperback,,
Thiel,220,Non Fiction,Business,Hardback,,
Drucker,277,Non Fiction,Business,Paperback,,
Wilmerding,106,Non Fiction,Business,Paperback,,
Liedtka,227,Non Fiction,Business,Hardback,,
Bussgang,256,Non Fiction,Business,Hardback,,
McAllen,275,Non Fiction,Business,Paperback,,
HBR,210,Non Fiction,Business,Paperback,,
HBR,266,Non Fiction,Business,Paperback,,
HBR,217,Non Fiction,Business,Paperback,,
HBR,224,Non Fiction,Business,Paperback,,
HBR,198,Non Fiction,Business,Paperback,,
HBR,268,Non Fiction,Business,Paperback,,
Bagley,816,Non Fiction,Business,Paperback,,
Mueller,613,Non Fiction,Business,Paperback,,
Roberts,368,Non Fiction,Business,Paperback,,
Samuelson,745,Non Fiction,Business,Hardback,,
Higgins,459,Non Fiction,Business,Paperback,,
Stine,751,Non Fiction,Business,Hardback,,
Longacre,367,Non Fiction,Business,Paperback,,
Brealey,567,Non Fiction,Business,Paperback,,
Easton,300,Non Fiction,Business,Hardback,,
Abrams,417,Non Fiction,Business,Paperback,,
Valentine,433,Non Fiction,Business,Paperback,,
Sincere,295,Non Fiction,Business,Paperback,,
Pressman,638,Non Fiction,Business,Paperback,,
Rice,357,Non Fiction,Business,Paperback,,
Easton,300,Non Fiction,Business,Hardback,,
Murray,447,Non Fiction,Computers,Paperback,,
Lubanovic,459,Non Fiction,Computers,Paperback,,
Beaulieu,320,Non Fiction,Computers,Paperback,,
Davis,411,Non Fiction,Computers,Paperback,,
Scherz,952,Non Fiction,Computers,Paperback,,
Kitchen,211,Non Fiction,Cooking,Hardback,,
Shurin,144,Non Fiction,Cooking,Paperback,,
Kitchen,216,Non Fiction,Cooking,Hardback,,
Janson,117,Non Fiction,Cooking,Paperback,,
Millers,358,Non Fiction,Cooking,Paperback,,
Moore,91,Non Fiction,Cooking,Paperback,,
Grann,372,Non Fiction,History Sociology,Paperback,,
Harari,443,Non Fiction,History Sociology,Paperback,,
Kolker,377,Non Fiction,History Sociology,Hardback,,
Moore,341,Non Fiction,History Sociology,Paperback,,
Kyle,379,Non Fiction,History Sociology,Paperback,,
Donovan,262,Non Fiction,Science Nature,Paperback,,
Goldfarb,286,Non Fiction,Science Nature,Paperback,,
Hetts,111,Non Fiction,Science Nature,Paperback,,
Alden,447,Non Fiction,Science Nature,Paperback,,
Johnson,224,Non Fiction,Science Nature,Hardback,,
Wernert,559,Non Fiction,Science Nature,Hardback,,
Abbott,160,Non Fiction,Science Nature,Paperback,,
Levi,160,Non Fiction,Science Nature,Hardback,,
Zim,160,Non Fiction,Science Nature,Paperback,,
Sievert,96,Non Fiction,Science Nature,Paperback,,
Saunders,64,Non Fiction,Science Nature,Paperback,,
Woolley,64,Non Fiction,Science Nature,Paperback,,
Peterson,330,Non Fiction,Science Nature,Paperback,,
Sacks,274,Non Fiction,Science Nature,Hardback,,
Behe,307,Non Fiction,Science Nature,Paperback,,
Mukherjee,594,Non Fiction,Science Nature,Paperback,,
Murphy,868,Non Fiction,Science Nature,Paperback,,
McCance,1810,Non Fiction,Science Nature,Hardback,,
Pollan,465,Non Fiction,Self-Help,Paperback,,
Madson,159,Non Fiction,Self-Help,Hardback,,
Bridges,177,Non Fiction,Self-Help,Hardback,,
Asa,212,Non Fiction,Self-Help,Paperback,,
Asa,176,Non Fiction,Self-Help,Paperback,,
Asa,126,Non Fiction,Self-Help,Paperback,,
Rousmaniere,403,Non Fiction,Self-Help,Paperback,,
Budworth,256,Non Fiction,Self-Help,Hardback,,
Benson,318,Non Fiction,Travel,Paperback,,
Brown,405,Non Fiction,Travel,Paperback,,
