date,price
2013-01-02,7.29
2013-01-03,7.15
2013-01-04,7.22
2013-01-07,7.17
2013-01-08,7.18
2013-01-09,7.31
2013-01-10,7.17
2013-01-11,7.08
2013-01-14,7.16
2013-01-15,7.25
2013-01-16,7.11
2013-01-17,7.14
2013-01-18,7.35
2013-01-22,7.73
2013-01-23,7.58
2013-01-24,7.43
2013-01-25,7.48
2013-01-28,7.7
2013-01-29,7.54
2013-01-30,7.7
2013-01-31,7.67
2013-02-01,7.76
2013-02-04,7.86
2013-02-05,7.9
2013-02-06,7.89
2013-02-07,7.62
2013-02-08,7.47
2013-02-11,7.65
2013-02-12,7.52
2013-02-13,7.52
2013-02-14,7.56
2013-02-15,7.5
2013-02-19,7.46
2013-02-20,7.46
2013-02-21,7.39
2013-02-22,7.4
2013-02-25,7.47
2013-02-26,7.52
2013-02-27,7.65
2013-02-28,7.66
2013-03-01,7.45
2013-03-04,7.48
2013-03-05,7.73
2013-03-06,7.78
2013-03-07,7.87
2013-03-08,7.85
2013-03-11,7.66
2013-03-12,7.33
2013-03-13,7.16
2013-03-14,6.9
2013-03-15,5.54
2013-03-18,5.0
2013-03-19,4.99
2013-03-20,5.5
2013-03-21,5.55
2013-03-22,5.82
2013-03-25,5.88
2013-03-26,5.56
2013-03-27,5.62
2013-03-28,5.62
2013-04-01,5.34
2013-04-02,5.33
2013-04-03,5.17
2013-04-04,5.06
2013-04-05,5.45
2013-04-08,5.41
2013-04-09,5.34
2013-04-10,5.35
2013-04-11,5.4
2013-04-12,5.35
2013-04-15,5.27
2013-04-16,5.32
2013-04-17,5.2
2013-04-18,5.26
2013-04-19,5.3
2013-04-22,5.2
2013-04-23,5.23
2013-04-24,5.19
2013-04-25,4.51
2013-04-26,4.95
2013-04-29,5.15
2013-04-30,5.14
2013-05-01,4.99
2013-05-02,5.09
2013-05-03,5.15
2013-05-06,5.12
2013-05-07,5.5
2013-05-08,5.4
2013-05-09,5.15
2013-05-10,4.9
2013-05-13,5.12
2013-05-14,5.39
2013-05-15,5.48
2013-05-16,5.84
2013-05-17,6.0
2013-05-20,6.26
2013-05-21,6.3
2013-05-22,6.6
2013-05-23,6.65
2013-05-24,6.86
2013-05-28,6.87
2013-05-29,6.97
2013-05-30,6.9
2013-05-31,6.91
2013-06-03,7.0
2013-06-04,7.09
2013-06-05,6.96
2013-06-06,6.79
2013-06-07,6.82
2013-06-10,6.85
2013-06-11,6.8
2013-06-12,6.58
2013-06-13,6.48
2013-06-14,6.31
2013-06-17,6.65
2013-06-18,6.67
2013-06-19,6.71
2013-06-20,6.44
2013-06-21,6.44
2013-06-24,6.51
2013-06-25,6.4
2013-06-26,6.27
2013-06-27,6.37
2013-06-28,6.43
2013-07-01,6.4
2013-07-02,6.58
2013-07-03,6.64
2013-07-05,6.68
2013-07-08,6.5
2013-07-09,6.43
2013-07-10,6.66
2013-07-11,6.6
2013-07-12,6.53
2013-07-15,6.54
2013-07-16,6.54
2013-07-17,6.52
2013-07-18,6.59
2013-07-19,6.51
2013-07-22,6.54
2013-07-23,6.54
2013-07-24,6.83
2013-07-25,6.95
2013-07-26,6.84
2013-07-29,6.87
2013-07-30,6.75
2013-07-31,6.85
2013-08-01,6.81
2013-08-02,6.63
2013-08-05,6.69
2013-08-06,6.62
2013-08-07,6.58
2013-08-08,6.61
2013-08-09,6.5
2013-08-12,6.48
2013-08-13,6.24
2013-08-14,6.92
2013-08-15,6.65
2013-08-16,6.64
2013-08-19,6.9
2013-08-20,6.73
2013-08-21,6.71
2013-08-22,6.66
2013-08-23,6.99
2013-08-26,6.92
2013-08-27,6.71
2013-08-28,6.72
2013-08-29,6.61
2013-08-30,6.62
2013-09-03,6.63
2013-09-04,6.53
2013-09-05,6.65
2013-09-06,6.67
2013-09-09,6.83
2013-09-10,6.72
2013-09-11,6.65
2013-09-12,6.58
2013-09-13,6.62
2013-09-16,6.56
2013-09-17,6.49
2013-09-18,6.58
2013-09-19,6.87
2013-09-20,6.85
2013-09-23,7.01
2013-09-24,7.13
2013-09-25,7.41
2013-09-26,7.46
2013-09-27,7.45
2013-09-30,7.33
2013-10-01,7.34
2013-10-02,7.03
2013-10-03,7.1
2013-10-04,7.25
2013-10-07,7.23
2013-10-08,7.21
2013-10-09,6.99
2013-10-10,7.06
2013-10-11,6.96
2013-10-14,6.92
2013-10-15,6.72
2013-10-16,6.7
2013-10-17,6.55
2013-10-18,6.69
2013-10-21,6.37
2013-10-22,6.17
2013-10-23,6.05
2013-10-24,6.42
2013-10-25,6.45
2013-10-28,6.6
2013-10-29,6.68
2013-10-30,6.86
2013-10-31,7.07
2013-11-01,7.01
2013-11-04,6.88
2013-11-05,6.88
2013-11-06,6.66
2013-11-07,6.7
2013-11-08,6.98
2013-11-11,6.85
2013-11-12,6.9
2013-11-13,7.5
2013-11-14,7.09
2013-11-15,7.12
2013-11-18,6.92
2013-11-19,6.84
2013-11-20,6.95
2013-11-21,7.07
2013-11-22,6.95
2013-11-25,7.21
2013-11-26,7.17
2013-11-27,7.15
2013-11-29,7.23
2013-12-02,7.06
2013-12-03,6.95
2013-12-04,7.14
2013-12-05,7.27
2013-12-06,7.23
2013-12-09,7.0
2013-12-10,6.99
2013-12-11,6.77
2013-12-12,6.65
2013-12-13,6.66
2013-12-16,6.82
2013-12-17,6.99
2013-12-18,6.87
2013-12-19,6.75
2013-12-20,6.85
2013-12-23,7.4
2013-12-24,8.38
2013-12-26,7.95
2013-12-27,7.96
2013-12-30,7.75
2013-12-31,7.54
2014-01-02,7.65
2014-01-03,8.05
2014-01-06,8.11
2014-01-07,8.2
2014-01-08,8.31
2014-01-09,8.19
2014-01-10,8.38
2014-01-13,8.04
2014-01-14,8.22
2014-01-15,8.3
2014-01-16,8.4
2014-01-17,8.47
2014-01-21,9.24
2014-01-22,9.64
2014-01-23,9.56
2014-01-24,9.14
2014-01-27,9.44
2014-01-28,9.74
2014-01-29,9.95
2014-01-30,9.79
2014-01-31,9.77
2014-02-03,9.41
2014-02-04,9.48
2014-02-05,9.49
2014-02-06,9.2
2014-02-07,9.46
2014-02-10,9.23
2014-02-11,9.27
2014-02-12,9.23
2014-02-13,9.21
2014-02-14,9.0
2014-02-18,9.19
2014-02-19,9.14
2014-02-20,9.39
2014-02-21,9.84
2014-02-24,9.93
2014-02-25,10.01
2014-02-26,9.98
2014-02-27,10.26
2014-02-28,10.04
2014-03-03,10.05
2014-03-04,10.25
2014-03-05,10.02
2014-03-06,9.74
2014-03-07,9.18
2014-03-10,9.2
2014-03-11,8.89
2014-03-12,9.15
2014-03-13,9.76
2014-03-14,10.07
2014-03-17,9.9
2014-03-18,10.01
2014-03-19,9.74
2014-03-20,9.61
2014-03-21,9.11
2014-03-24,8.63
2014-03-25,8.64
2014-03-26,8.49
2014-03-27,8.5
2014-03-28,8.55
2014-03-31,8.94
2014-04-01,9.55
2014-04-02,9.76
2014-04-03,9.56
2014-04-04,9.32
2014-04-07,8.84
2014-04-08,8.77
2014-04-09,8.86
2014-04-10,8.47
2014-04-11,7.93
2014-04-14,7.81
2014-04-15,7.92
2014-04-16,8.19
2014-04-17,8.26
2014-04-21,8.61
2014-04-22,8.38
2014-04-23,8.06
2014-04-24,8.0
2014-04-25,7.68
2014-04-28,7.57
2014-04-29,7.57
2014-04-30,8.21
2014-05-01,8.17
2014-05-02,8.0
2014-05-05,7.98
2014-05-06,7.7
2014-05-07,7.63
2014-05-08,7.32
2014-05-09,7.73
2014-05-12,7.57
2014-05-13,7.8
2014-05-14,7.94
2014-05-15,8.06
2014-05-16,8.23
2014-05-19,8.49
2014-05-20,8.83
2014-05-21,8.75
2014-05-22,8.52
2014-05-23,8.7
2014-05-27,8.65
2014-05-28,8.63
2014-05-29,8.88
2014-05-30,8.91
2014-06-02,8.71
2014-06-03,8.61
2014-06-04,8.99
2014-06-05,9.2
2014-06-06,9.32
2014-06-09,9.56
2014-06-10,9.73
2014-06-11,9.72
2014-06-12,9.83
2014-06-13,10.23
2014-06-16,10.46
2014-06-17,10.69
2014-06-18,10.72
2014-06-19,10.58
2014-06-20,10.72
2014-06-23,10.74
2014-06-24,10.54
2014-06-25,10.66
2014-06-26,10.64
2014-06-27,10.85
2014-06-30,10.95
2014-07-01,10.99
2014-07-02,11.13
2014-07-03,11.11
2014-07-07,10.38
2014-07-08,10.7
2014-07-09,10.78
2014-07-10,10.64
2014-07-11,10.52
2014-07-14,10.76
2014-07-15,10.07
2014-07-16,9.5
2014-07-17,9.28
2014-07-18,9.25
2014-07-21,9.2
2014-07-22,9.12
2014-07-23,9.23
2014-07-24,9.18
2014-07-25,8.94
2014-07-28,8.97
2014-07-29,8.85
2014-07-30,9.06
2014-07-31,8.66
2014-08-01,8.56
2014-08-04,8.58
2014-08-05,8.43
2014-08-06,8.36
2014-08-07,8.15
2014-08-08,8.48
2014-08-11,8.33
2014-08-12,9.07
2014-08-13,9.39
2014-08-14,9.3
2014-08-15,9.0
2014-08-18,9.01
2014-08-19,8.96
2014-08-20,8.85
2014-08-21,8.59
2014-08-22,8.99
2014-08-25,8.85
2014-08-26,8.96
2014-08-27,8.96
2014-08-28,8.81
2014-08-29,9.06
2014-09-02,8.94
2014-09-03,8.74
2014-09-04,8.36
2014-09-05,8.4
2014-09-08,8.45
2014-09-09,8.43
2014-09-10,8.75
2014-09-11,8.53
2014-09-12,8.28
2014-09-15,8.13
2014-09-16,8.25
2014-09-17,8.43
2014-09-18,8.41
2014-09-19,8.19
2014-09-22,7.99
2014-09-23,8.25
2014-09-24,8.4
2014-09-25,8.3
2014-09-26,8.31
2014-09-29,8.84
2014-09-30,8.69
2014-10-01,8.37
2014-10-02,8.58
2014-10-03,8.73
2014-10-06,8.6
2014-10-07,8.3
2014-10-08,8.38
2014-10-09,8.41
2014-10-10,8.17
2014-10-13,7.93
2014-10-14,7.79
2014-10-15,8.16
2014-10-16,8.39
2014-10-17,7.88
2014-10-20,7.79
2014-10-21,7.8
2014-10-22,7.84
2014-10-23,7.49
2014-10-24,7.51
2014-10-27,7.58
2014-10-28,7.85
2014-10-29,7.7
2014-10-30,8.05
2014-10-31,8.03
2014-11-03,7.9
2014-11-04,7.83
2014-11-05,7.86
2014-11-06,8.02
2014-11-07,7.84
2014-11-10,8.07
2014-11-11,7.91
2014-11-12,8.4
2014-11-13,8.49
2014-11-14,8.47
2014-11-17,8.26
2014-11-18,9.07
2014-11-19,8.79
2014-11-20,8.98
2014-11-21,8.88
2014-11-24,8.93
2014-11-25,8.9
2014-11-26,8.94
2014-11-28,8.86
2014-12-01,8.79
2014-12-02,8.95
2014-12-03,9.49
2014-12-04,8.9
2014-12-05,8.95
2014-12-08,8.83
2014-12-09,8.8
2014-12-10,8.72
2014-12-11,8.7
2014-12-12,8.72
2014-12-15,8.64
2014-12-16,8.72
2014-12-17,8.74
2014-12-18,8.94
2014-12-19,8.91
2014-12-22,8.86
2014-12-23,8.37
2014-12-24,8.52
2014-12-26,8.65
2014-12-29,8.35
2014-12-30,8.14
2014-12-31,8.3
2015-01-02,8.22
2015-01-05,8.22
2015-01-06,8.18
2015-01-07,8.41
2015-01-08,8.72
2015-01-09,8.76
2015-01-12,8.71
2015-01-13,8.75
2015-01-14,8.98
2015-01-15,8.68
2015-01-16,9.04
2015-01-20,9.0
2015-01-21,8.52
2015-01-22,8.54
2015-01-23,8.57
2015-01-26,8.48
2015-01-27,8.63
2015-01-28,8.67
2015-01-29,8.82
2015-01-30,8.5
2015-02-02,8.44
2015-02-03,8.57
2015-02-04,8.47
2015-02-05,8.76
2015-02-06,8.5
2015-02-09,8.37
2015-02-10,8.64
2015-02-11,8.51
2015-02-12,8.58
2015-02-13,8.8
2015-02-17,8.74
2015-02-18,8.82
2015-02-19,8.59
2015-02-20,8.67
2015-02-23,8.75
2015-02-24,8.8
2015-02-25,9.34
2015-02-26,9.18
2015-02-27,8.99
2015-03-02,9.26
2015-03-03,9.13
2015-03-04,9.46
2015-03-05,9.89
2015-03-06,9.79
2015-03-09,9.9
2015-03-10,9.93
2015-03-11,11.0
2015-03-12,11.41
2015-03-13,11.77
2015-03-16,11.17
2015-03-17,11.08
2015-03-18,11.2
2015-03-19,11.46
2015-03-20,11.35
2015-03-23,11.46
2015-03-24,11.58
2015-03-25,10.67
2015-03-26,11.32
2015-03-27,11.78
2015-03-30,11.76
2015-03-31,12.09
2015-04-01,12.76
2015-04-02,12.41
2015-04-06,12.2
2015-04-07,12.49
2015-04-08,12.53
2015-04-09,12.5
2015-04-10,12.84
2015-04-13,13.07
2015-04-14,13.19
2015-04-15,13.49
2015-04-16,13.49
2015-04-17,13.47
2015-04-20,13.41
2015-04-21,13.77
2015-04-22,13.67
2015-04-23,13.94
2015-04-24,13.76
2015-04-27,13.05
2015-04-28,13.24
2015-04-29,13.17
2015-04-30,12.8
2015-05-01,12.82
2015-05-04,13.25
2015-05-05,12.54
2015-05-06,12.31
2015-05-07,13.0
2015-05-08,13.17
2015-05-11,13.16
2015-05-12,13.23
2015-05-13,13.25
2015-05-14,13.42
2015-05-15,13.13
2015-05-18,13.15
2015-05-19,13.2
2015-05-20,13.25
2015-05-21,13.26
2015-05-22,13.44
2015-05-26,13.2
2015-05-27,13.51
2015-05-28,13.48
2015-05-29,14.22
2015-06-01,14.0
2015-06-02,14.54
2015-06-03,14.59
2015-06-04,14.63
2015-06-05,15.43
2015-06-08,15.7
2015-06-09,16.02
2015-06-10,15.9
2015-06-11,16.23
2015-06-12,18.1
2015-06-15,18.370001000000002
2015-06-16,16.9
2015-06-17,16.01
2015-06-18,17.09
2015-06-19,16.59
2015-06-22,16.76
2015-06-23,16.74
2015-06-24,16.870001000000002
2015-06-25,17.01
2015-06-26,16.65
2015-06-29,16.33
2015-06-30,16.98
2015-07-01,16.959999
2015-07-02,16.75
2015-07-06,17.299999
2015-07-07,17.66
2015-07-08,17.219998999999998
2015-07-09,16.809998999999998
2015-07-10,18.07
2015-07-13,18.92
2015-07-14,19.120001000000002
2015-07-15,19.200001
2015-07-16,20.0
2015-07-17,20.15
2015-07-20,19.530001000000002
2015-07-21,19.879998999999998
2015-07-22,20.129998999999998
2015-07-23,19.98
2015-07-24,20.110001
2015-07-27,20.02
2015-07-28,21.190001000000002
2015-07-29,20.450001
2015-07-30,20.4
2015-07-31,21.209999
2015-08-03,21.1
2015-08-04,21.26
2015-08-05,19.219998999999998
2015-08-06,18.540001
2015-08-07,17.6
2015-08-10,17.84
2015-08-11,17.74
2015-08-12,18.059998999999998
2015-08-13,17.43
2015-08-14,17.440001000000002
2015-08-17,18.370001000000002
2015-08-18,17.450001
2015-08-19,18.41
2015-08-20,16.77
2015-08-21,16.73
2015-08-24,15.39
2015-08-25,15.74
2015-08-26,16.48
2015-08-27,17.52
2015-08-28,17.799999
2015-08-31,18.15
2015-09-01,18.83
2015-09-02,19.75
2015-09-03,19.66
2015-09-04,19.620001000000002
2015-09-08,19.959999
2015-09-09,18.73
2015-09-10,19.450001
2015-09-11,20.200001
2015-09-14,20.16
2015-09-15,20.219998999999998
2015-09-16,20.450001
2015-09-17,21.139999
2015-09-18,20.969998999999998
2015-09-21,19.450001
2015-09-22,19.27
2015-09-23,19.17
2015-09-24,18.209999
2015-09-25,16.57
2015-09-28,14.51
2015-09-29,13.62
2015-09-30,14.03
2015-10-01,14.15
2015-10-02,15.33
2015-10-05,15.01
2015-10-06,13.77
2015-10-07,14.47
2015-10-08,14.32
2015-10-09,14.48
2015-10-12,14.61
2015-10-13,14.69
2015-10-14,13.94
2015-10-15,16.209999
2015-10-16,16.309998999999998
2015-10-19,17.379998999999998
2015-10-20,15.79
2015-10-21,15.81
2015-10-22,15.27
2015-10-23,15.97
2015-10-26,15.59
2015-10-27,15.7
2015-10-28,16.91
2015-10-29,16.530001000000002
2015-10-30,16.5
2015-11-02,17.219998999999998
2015-11-03,17.780001000000002
2015-11-04,18.26
2015-11-05,17.780001000000002
2015-11-06,18.110001
2015-11-09,18.27
2015-11-10,18.860001
2015-11-11,17.59
2015-11-12,16.32
2015-11-13,16.200001
2015-11-16,16.110001
2015-11-17,16.68
2015-11-18,16.51
2015-11-19,15.97
2015-11-20,15.45
2015-11-23,15.33
2015-11-24,16.290001
2015-11-25,16.370001000000002
2015-11-27,16.66
2015-11-30,16.16
2015-12-01,16.709999
2015-12-02,16.26
2015-12-03,15.45
2015-12-04,14.58
2015-12-07,14.44
2015-12-08,14.82
2015-12-09,14.59
2015-12-10,14.24
2015-12-11,13.17
2015-12-14,12.78
2015-12-15,13.25
2015-12-16,13.65
2015-12-17,13.84
2015-12-18,14.13
2015-12-21,14.22
2015-12-22,14.1
2015-12-23,14.33
2015-12-24,14.14
2015-12-28,14.0
2015-12-29,13.47
2015-12-30,13.69
2015-12-31,13.44
2016-01-04,13.14
2016-01-05,13.43
2016-01-06,12.7
2016-01-07,12.78
2016-01-08,11.69
2016-01-11,11.25
2016-01-12,11.48
2016-01-13,10.87
2016-01-14,11.34
2016-01-15,11.29
2016-01-19,11.14
2016-01-20,12.29
2016-01-21,11.75
2016-01-22,12.47
2016-01-25,11.92
2016-01-26,11.75
2016-01-27,11.04
2016-01-28,10.6
2016-01-29,11.34
2016-02-01,11.27
2016-02-02,10.73
2016-02-03,10.6
2016-02-04,10.13
2016-02-05,12.13
2016-02-08,12.54
2016-02-09,12.13
2016-02-10,12.48
2016-02-11,12.36
2016-02-12,12.84
2016-02-16,13.14
2016-02-17,13.35
2016-02-18,13.12
2016-02-19,13.64
2016-02-22,13.62
2016-02-23,13.35
2016-02-24,13.53
2016-02-25,13.19
2016-02-26,13.25
2016-02-29,12.54
2016-03-01,12.98
2016-03-02,13.37
2016-03-03,13.99
2016-03-04,14.38
2016-03-07,14.85
