date,price
2012-01-03,5.616
2012-01-04,5.542
2012-01-05,5.424
2012-01-06,5.382
2012-01-09,5.45
2012-01-10,5.524
2012-01-11,5.646
2012-01-12,5.65
2012-01-13,4.558
2012-01-17,5.32
2012-01-18,5.362
2012-01-19,5.352
2012-01-20,5.32
2012-01-23,5.354
2012-01-24,5.484
2012-01-25,5.594
2012-01-26,5.788
2012-01-27,5.866
2012-01-30,5.914
2012-01-31,5.814
2012-02-01,5.916
2012-02-02,6.05
2012-02-03,6.23
2012-02-06,6.36
2012-02-07,6.32
2012-02-08,6.386
2012-02-09,6.516
2012-02-10,6.22
2012-02-13,6.298
2012-02-14,6.634
2012-02-15,6.72
2012-02-16,6.836
2012-02-17,6.994
2012-02-21,6.9
2012-02-22,6.844
2012-02-23,6.906
2012-02-24,6.75
2012-02-27,6.724
2012-02-28,6.762
2012-02-29,6.682
2012-03-01,6.882
2012-03-02,6.808
2012-03-05,6.754
2012-03-06,6.622
2012-03-07,6.624
2012-03-08,6.614
2012-03-09,6.948
2012-03-12,7.202
2012-03-13,7.218
2012-03-14,7.058
2012-03-15,7.0
2012-03-16,7.064
2012-03-19,6.996
2012-03-20,6.992
2012-03-21,7.03
2012-03-22,6.88
2012-03-23,6.816
2012-03-26,7.48
2012-03-27,7.588
2012-03-28,7.57
2012-03-29,7.466
2012-03-30,7.448
2012-04-02,7.316
2012-04-03,7.602
2012-04-04,7.0
2012-04-05,6.896
2012-04-09,6.63
2012-04-10,6.492
2012-04-11,6.618
2012-04-12,6.688
2012-04-13,6.718
2012-04-16,6.45
2012-04-17,6.448
2012-04-18,6.532
2012-04-19,6.632
2012-04-20,6.632
2012-04-23,6.388
2012-04-24,6.364
2012-04-25,6.582
2012-04-26,6.698
2012-04-27,6.668
2012-04-30,6.626
2012-05-01,6.756
2012-05-02,6.788
2012-05-03,6.492
2012-05-04,6.366
2012-05-07,6.494
2012-05-08,6.038
2012-05-09,6.012
2012-05-10,6.592
2012-05-11,6.45
2012-05-14,6.012
2012-05-15,5.886
2012-05-16,5.836
2012-05-17,5.714
2012-05-18,5.512
2012-05-21,5.754
2012-05-22,6.16
2012-05-23,6.204
2012-05-24,6.056
2012-05-25,5.962
2012-05-29,6.338
2012-05-30,6.082
2012-05-31,5.9
2012-06-01,5.63
2012-06-04,5.576
2012-06-05,5.582
2012-06-06,5.844
2012-06-07,5.786
2012-06-08,6.016
2012-06-11,5.824
2012-06-12,5.932
2012-06-13,5.954
2012-06-14,5.878
2012-06-15,5.982
2012-06-18,6.368
2012-06-19,6.418
2012-06-20,6.756
2012-06-21,6.438
2012-06-22,6.758
2012-06-25,6.622
2012-06-26,6.322
2012-06-27,6.392
2012-06-28,6.282
2012-06-29,6.258
2012-07-02,6.08
2012-07-03,6.132
2012-07-05,6.246
2012-07-06,6.198
2012-07-09,6.298
2012-07-10,6.254
2012-07-11,6.302
2012-07-12,6.54
2012-07-13,6.85
2012-07-16,7.192
2012-07-17,6.67
2012-07-18,6.43
2012-07-19,6.454
2012-07-20,6.358
2012-07-23,6.132
2012-07-24,5.968
2012-07-25,5.79
2012-07-26,5.626
2012-07-27,5.902
2012-07-30,5.47
2012-07-31,5.484
2012-08-01,5.25
2012-08-02,5.22
2012-08-03,5.454
2012-08-06,5.654
2012-08-07,6.05
2012-08-08,5.818
2012-08-09,5.882
2012-08-10,5.988
2012-08-13,6.234
2012-08-14,5.884
2012-08-15,5.88
2012-08-16,6.06
2012-08-17,6.002
2012-08-20,5.902
2012-08-21,5.822
2012-08-22,5.99
2012-08-23,6.146
2012-08-24,5.9
2012-08-27,5.664
2012-08-28,5.738
2012-08-29,5.682
2012-08-30,5.682
2012-08-31,5.704
2012-09-04,5.628
2012-09-05,5.588
2012-09-06,5.71
2012-09-07,5.87
2012-09-10,5.474
2012-09-11,5.56
2012-09-12,5.656
2012-09-13,5.896
2012-09-14,6.078
2012-09-17,6.508
2012-09-18,6.268
