Date,price
11/20/20,3099.399902
11/19/20,3117.02002
11/18/20,3105.459961
11/17/20,3135.659912
11/16/20,3131.060059
11/13/20,3128.810059
11/12/20,3110.280029
11/11/20,3137.389893
11/10/20,3035.02002
11/9/20,3143.73999
11/6/20,3311.370117
11/5/20,3322
11/4/20,3241.159912
11/3/20,3048.409912
11/2/20,3004.47998
10/30/20,3036.149902
10/29/20,3211.01001
10/28/20,3162.780029
10/27/20,3286.330078
10/26/20,3207.040039
10/23/20,3204.399902
10/22/20,3176.399902
10/21/20,3184.939941
10/20/20,3217.01001
10/19/20,3207.209961
10/16/20,3272.709961
10/15/20,3338.649902
10/14/20,3363.709961
10/13/20,3443.629883
10/12/20,3442.929932
10/9/20,3286.649902
10/8/20,3190.550049
10/7/20,3195.689941
10/6/20,3099.959961
10/5/20,3199.199951
10/2/20,3125
10/1/20,3221.26001
9/30/20,3148.72998
9/29/20,3144.879883
9/28/20,3174.050049
9/25/20,3095.129883
9/24/20,3019.790039
9/23/20,2999.860107
9/22/20,3128.98999
9/21/20,2960.469971
9/18/20,2954.909912
9/17/20,3008.72998
9/16/20,3078.100098
9/15/20,3156.129883
9/14/20,3102.969971
9/11/20,3116.219971
9/10/20,3175.110107
9/9/20,3268.610107
9/8/20,3149.840088
9/4/20,3294.620117
9/3/20,3368
9/2/20,3531.449951
9/1/20,3499.120117
8/31/20,3450.959961
8/28/20,3401.800049
8/27/20,3400
8/26/20,3441.850098
8/25/20,3346.48999
8/24/20,3307.459961
8/21/20,3284.719971
8/20/20,3297.370117
8/19/20,3260.47998
8/18/20,3312.48999
8/17/20,3182.409912
8/14/20,3148.02002
8/13/20,3161.02002
8/12/20,3162.23999
8/11/20,3080.669922
8/10/20,3148.159912
8/7/20,3167.459961
8/6/20,3225
8/5/20,3205.030029
8/4/20,3138.830078
8/3/20,3111.889893
7/31/20,3164.679932
7/30/20,3051.879883
7/29/20,3033.530029
7/28/20,3000.330078
7/27/20,3055.209961
7/24/20,3008.909912
7/23/20,2986.550049
7/22/20,3099.909912
7/21/20,3138.290039
7/20/20,3196.840088
7/17/20,2961.969971
7/16/20,2999.899902
7/15/20,3008.870117
7/14/20,3084
7/13/20,3104
7/10/20,3200
7/9/20,3182.629883
7/8/20,3081.110107
7/7/20,3000.120117
7/6/20,3057.040039
7/2/20,2890.300049
7/1/20,2878.699951
6/30/20,2758.820068
6/29/20,2680.379883
6/26/20,2692.870117
6/25/20,2754.580078
6/24/20,2734.399902
6/23/20,2764.409912
6/22/20,2713.820068
6/19/20,2675.01001
6/18/20,2653.97998
6/17/20,2640.97998
6/16/20,2615.27002
6/15/20,2572.679932
6/12/20,2545.02002
6/11/20,2557.959961
6/10/20,2647.449951
6/9/20,2600.860107
6/8/20,2524.060059
6/5/20,2483
6/4/20,2460.600098
6/3/20,2478.399902
6/2/20,2472.409912
6/1/20,2471.040039
5/29/20,2442.370117
5/28/20,2401.100098
5/27/20,2410.389893
5/26/20,2421.860107
5/22/20,2436.879883
5/21/20,2446.73999
5/20/20,2497.939941
5/19/20,2449.330078
5/18/20,2426.26001
5/15/20,2409.780029
5/14/20,2388.850098
5/13/20,2367.919922
5/12/20,2356.949951
5/11/20,2409
5/8/20,2379.610107
5/7/20,2367.610107
5/6/20,2351.26001
5/5/20,2317.800049
5/4/20,2315.98999
5/1/20,2286.040039
4/30/20,2474
4/29/20,2372.709961
4/28/20,2314.080078
4/27/20,2376
4/24/20,2410.219971
4/23/20,2399.449951
4/22/20,2363.48999
4/21/20,2328.120117
4/20/20,2393.610107
4/17/20,2375
4/16/20,2408.189941
4/15/20,2307.679932
4/14/20,2283.320068
4/13/20,2168.870117
4/9/20,2042.76001
4/8/20,2043
4/7/20,2011.599976
4/6/20,1997.589966
4/3/20,1906.589966
4/2/20,1918.829956
4/1/20,1907.699951
3/31/20,1949.719971
3/30/20,1963.949951
3/27/20,1900.099976
3/26/20,1955.48999
3/25/20,1885.839966
3/24/20,1940.099976
3/23/20,1902.829956
3/20/20,1846.089966
3/19/20,1880.930054
3/18/20,1830
3/17/20,1807.839966
3/16/20,1689.150024
3/13/20,1785
3/12/20,1676.609985
3/11/20,1820.859985
3/10/20,1891.819946
3/9/20,1800.609985
3/6/20,1901.089966
3/5/20,1924.030029
3/4/20,1975.829956
3/3/20,1908.98999
3/2/20,1953.949951
2/28/20,1883.75
2/27/20,1884.300049
2/26/20,1979.589966
2/25/20,1972.73999
2/24/20,2009.290039
2/21/20,2095.969971
2/20/20,2153.100098
2/19/20,2170.219971
2/18/20,2155.669922
2/14/20,2134.870117
2/13/20,2149.870117
2/12/20,2160
2/11/20,2150.800049
2/10/20,2133.909912
2/7/20,2079.280029
2/6/20,2050.22998
2/5/20,2039.869995
2/4/20,2049.669922
2/3/20,2004.199951
1/31/20,2008.719971
1/30/20,1870.680054
1/29/20,1858
1/28/20,1853.25
1/27/20,1828.339966
1/24/20,1861.640015
1/23/20,1884.579956
1/22/20,1887.459961
1/21/20,1892
1/17/20,1864.719971
1/16/20,1877.939941
1/15/20,1862.02002
1/14/20,1869.439941
1/13/20,1891.300049
1/10/20,1883.160034
1/9/20,1901.050049
1/8/20,1891.969971
1/7/20,1906.859985
1/6/20,1902.880005
1/3/20,1874.969971
1/2/20,1898.01001
12/31/19,1847.839966
12/30/19,1846.890015
12/27/19,1869.800049
12/26/19,1868.77002
12/24/19,1789.209961
12/23/19,1793
12/20/19,1786.5
12/19/19,1792.280029
12/18/19,1784.030029
12/17/19,1790.660034
12/16/19,1769.209961
12/13/19,1760.939941
12/12/19,1760.329956
12/11/19,1748.719971
12/10/19,1739.209961
12/9/19,1749.51001
12/6/19,1751.599976
12/5/19,1740.47998
12/4/19,1760.689941
12/3/19,1769.959961
12/2/19,1781.599976
11/29/19,1800.800049
11/27/19,1818.51001
11/26/19,1796.939941
11/25/19,1773.839966
11/22/19,1745.719971
11/21/19,1734.709961
11/20/19,1745.530029
11/19/19,1752.790039
11/18/19,1752.530029
11/15/19,1739.48999
11/14/19,1754.599976
11/13/19,1753.109985
11/12/19,1778
11/11/19,1771.650024
11/8/19,1785.880005
11/7/19,1788.199951
11/6/19,1795.77002
11/5/19,1801.709961
11/4/19,1804.660034
11/1/19,1791.439941
10/31/19,1776.660034
10/30/19,1779.98999
10/29/19,1762.709961
10/28/19,1777.079956
10/25/19,1761.329956
10/24/19,1780.780029
10/23/19,1762.170044
10/22/19,1765.72998
10/21/19,1785.660034
10/18/19,1757.51001
10/17/19,1787.47998
10/16/19,1777.430054
10/15/19,1767.380005
10/14/19,1736.430054
10/11/19,1731.920044
10/10/19,1720.26001
10/9/19,1721.98999
10/8/19,1705.51001
10/7/19,1732.660034
10/4/19,1739.650024
10/3/19,1724.420044
10/2/19,1713.22998
10/1/19,1735.650024
9/30/19,1735.910034
9/27/19,1725.449951
9/26/19,1739.839966
9/25/19,1768.329956
9/24/19,1741.609985
9/23/19,1785.300049
9/20/19,1794.160034
9/19/19,1821.5
9/18/19,1817.459961
9/17/19,1822.550049
9/16/19,1807.839966
9/13/19,1839.339966
9/12/19,1843.550049
9/11/19,1822.98999
9/10/19,1820.550049
9/9/19,1831.349976
9/6/19,1833.51001
9/5/19,1840.719971
9/4/19,1800.619995
9/3/19,1789.839966
8/30/19,1776.290039
8/29/19,1786.400024
8/28/19,1764.25
8/27/19,1761.829956
8/26/19,1768.869995
8/23/19,1749.619995
8/22/19,1804.660034
8/21/19,1823.540039
