GOOGLdate,GOOGLnews,GOOGLsource
11/19/20,DJ Press Release: Green Dot to Collaborate with Google Pay to Offer Plex Accounts,DJGM
11/19/20,DJ Press Release: Citi Selects Mastercard as Network Partner for the Citi Plex Account by Google Pay,DJGM
11/17/20,"DJ Press Release: ROSEN, A LEADING LAW FIRM, Announces Investigation of Securities Claims Against Alphabet Inc.; Encourages Investors with Losses in Excess of $100K to Contact the Firm - GOOG, GOOGL",DJGM
11/17/20,"ROSEN, A LEADING LAW FIRM, Announces Investigation of Securities Claims Against Alphabet Inc.; Encourages Investors with Losses in Excess of $100K to Contact the Firm - GOOG, GOOGL",PRN
11/16/20,DJ Press Release: Qualys Partners with Google Cloud to Add Container Security Support for Google Cloud Artifact Registry,DJGM
11/10/20,DJ Press Release: Datadog and Google Cloud Extend Strategic Partnership into New Regions,DJGM
11/10/20,"Alphabet, Inc.(GOOGL-US) Schedules RBC Capital Markets Global Technology, Internet, Media and Telecommunications Conference for 17-November-2020 4:40 PM ET",FCSTEV
11/03/20,The $110 Trillion Trend Wall Street Can't Ignore,PRN
11/02/20,"DJ Press Release: Over The Top Market Highlights | 8*8 Inc., Alphabet Inc., and Apple Inc. to Emerge as Key Vendors | Technavio",DJGM
10/30/20,"DJ Press Release: Google Blocks No on Prop 24 Ads, Runs Yes on 24 Ads",DJGM
10/30/20,Google Beats Q3 2020 Earnings Estimates Across the Board,PRN
10/29/20,Alphabet Announces Third Quarter 2020 Results,NEWS_CR
10/29/20,DJ Press Release: CoreLogic Expands Google Cloud Program,DJGM
10/23/20,DJ Press Release: Google and Skipify team-up to enable shopping inside Gmail,DJGM
10/22/20,DJ Press Release: OLB Group Expands Support for Apple Pay and Google Pay,DJGM
10/22/20,DJ Press Release: Sabre and Google Develop -2-,DJGM
10/22/20,DJ Press Release: Sabre and Google Develop Industry-First AI Technology for Travel,DJGM
10/20/20,DJ Press Release: Justice Department Sues Monopolist Google for Antitrust Laws,DJGM
10/20/20,DJ Press Release: Attorney General James Announces Bipartisan Antitrust Investigation Into Google Will Continue,DJGM
