Date,price
11/20/20,70.150002
11/19/20,71.089996
11/18/20,70.059998
11/17/20,71.470001
11/16/20,70.879997
11/13/20,72.349998
11/12/20,73.620003
11/11/20,76.190002
11/10/20,72.300003
11/9/20,71.32
11/6/20,75.470001
11/5/20,78.82
11/4/20,80.919998
11/3/20,73.449997
11/2/20,73.669998
10/30/20,74.93
10/29/20,77.720001
10/28/20,77.260002
10/27/20,78.150002
10/26/20,77.269997
10/23/20,77.440002
10/22/20,76.059998
10/21/20,74.269997
10/20/20,74.309998
10/19/20,78.459999
10/16/20,79.629997
10/15/20,79.330002
10/14/20,80.309998
10/13/20,80.110001
10/12/20,81.360001
10/9/20,84.389999
10/8/20,83.449997
10/7/20,80.540001
10/6/20,80.099998
10/5/20,81.559998
10/2/20,79.82
10/1/20,80.419998
9/30/20,77.68
9/29/20,78.160004
9/28/20,79.669998
9/25/20,78.25
9/24/20,75.330002
9/23/20,79.779999
9/22/20,78.160004
9/21/20,78.839996
9/18/20,79.93
9/17/20,77.959999
9/16/20,77.790001
9/15/20,78.970001
9/14/20,76.599998
9/11/20,70.540001
9/10/20,70.790001
9/9/20,72.510002
9/8/20,69.699997
9/4/20,71.529999
9/3/20,72.199997
9/2/20,75.379997
9/1/20,75.470001
8/31/20,75.120003
8/28/20,72.440002
8/27/20,73.330002
8/26/20,73.07
8/25/20,73.720001
8/24/20,73.290001
8/21/20,75.349998
8/20/20,75.120003
8/19/20,74.260002
8/18/20,73.169998
8/17/20,74.629997
8/14/20,72.82
8/13/20,72.410004
8/12/20,72.650002
8/11/20,71.669998
8/10/20,75.839996
8/7/20,76.059998
8/6/20,72.220001
8/5/20,76.379997
8/4/20,61.790001
8/3/20,63.07
7/31/20,61.189999
7/30/20,62.029999
7/29/20,60.389999
7/28/20,59.279999
7/27/20,58.900002
7/24/20,58.470001
7/23/20,58.759998
7/22/20,60.049999
7/21/20,58.259998
7/20/20,58.810001
7/17/20,57.880001
7/16/20,57.060001
7/15/20,56.919998
7/14/20,56.169998
7/13/20,55.849998
7/10/20,57.23
7/9/20,58
7/8/20,58.759998
7/7/20,57.290001
7/6/20,58.110001
7/2/20,55.240002
7/1/20,55.23
6/30/20,55.580002
6/29/20,55.279999
6/26/20,55.080002
6/25/20,56.98
6/24/20,55
6/23/20,53.389999
6/22/20,52.52
6/19/20,49.970001
6/18/20,48.43
6/17/20,48.150002
6/16/20,47.82
6/15/20,47.07
6/12/20,46.07
6/11/20,46
6/10/20,48.599998
6/9/20,48.16
6/8/20,49.009998
6/5/20,48.119999
6/4/20,47.580002
6/3/20,48.82
6/2/20,50.349998
6/1/20,49.889999
5/29/20,50.73
5/28/20,48.75
5/27/20,49.099998
5/26/20,49.32
5/22/20,49.560001
5/21/20,47.93
5/20/20,47.450001
5/19/20,46.209999
5/18/20,46.189999
5/15/20,47.07
5/14/20,44.799999
5/13/20,45.279999
5/12/20,46.18
5/11/20,45.5
5/8/20,43.439999
5/7/20,42.029999
5/6/20,42.599998
5/5/20,37.380001
5/4/20,36.299999
5/1/20,35.619999
4/30/20,36.040001
4/29/20,35.25
4/28/20,33.669998
4/27/20,34.68
4/24/20,33.290001
4/23/20,33.52
4/22/20,33.849998
4/21/20,32.59
4/20/20,34.009998
4/17/20,33.810001
4/16/20,32.830002
4/15/20,31.950001
4/14/20,31.559999
4/13/20,30.540001
4/9/20,31.030001
4/8/20,31.219999
4/7/20,30.76
4/6/20,31.959999
4/3/20,31.370001
4/2/20,31.85
4/1/20,30.200001
3/31/20,29.620001
3/30/20,29.35
3/27/20,27.530001
3/26/20,28.4
3/25/20,28.26
3/24/20,27.030001
3/23/20,24.870001
3/20/20,25.01
3/19/20,26.280001
3/18/20,25.459999
3/17/20,27.360001
3/16/20,26.18
3/13/20,29.040001
3/12/20,26.940001
3/11/20,30.51
3/10/20,32.23
3/9/20,32.220001
3/6/20,35.080002
3/5/20,36.049999
3/4/20,36.830002
3/3/20,34.389999
3/2/20,35.200001
2/28/20,34.220001
2/27/20,34.060001
2/26/20,35.130001
2/25/20,33.880001
2/24/20,34.5
2/21/20,35.5
2/20/20,36.040001
2/19/20,36.060001
2/18/20,35.689999
2/14/20,35.93
2/13/20,35.84
2/12/20,36.400002
2/11/20,36.299999
2/10/20,36.169998
2/7/20,35.34
2/6/20,35.290001
2/5/20,35.57
2/4/20,34.720001
2/3/20,34.23
1/31/20,34.490002
1/30/20,35
1/29/20,35.869999
1/28/20,36.360001
1/27/20,36.029999
1/24/20,36.060001
1/23/20,37.110001
1/22/20,38.560001
1/21/20,38.25
1/17/20,38.400002
1/16/20,38.290001
1/15/20,37.740002
1/14/20,38.400002
1/13/20,38.259998
1/10/20,36.599998
1/9/20,36.279999
1/8/20,36.18
1/7/20,36.369999
1/6/20,36.220001
1/3/20,36.099998
1/2/20,36.380001
12/31/19,36.200001
12/30/19,36.040001
12/27/19,36.349998
12/26/19,36.650002
12/24/19,36.669998
12/23/19,36.279999
12/20/19,36.279999
12/19/19,35.59
12/18/19,35.049999
12/17/19,34.790001
12/16/19,34.259998
12/13/19,32.84
12/12/19,32.84
12/11/19,32.25
12/10/19,31.969999
12/9/19,31.889999
12/6/19,32.23
12/5/19,31.860001
12/4/19,32.619999
12/3/19,32.259998
12/2/19,31.93
11/29/19,32.779999
11/27/19,32.57
11/26/19,32.720001
11/25/19,32.509998
11/22/19,31.549999
11/21/19,31
11/20/19,31.27
11/19/19,30.5
11/18/19,30.73
11/15/19,30.26
11/14/19,29.809999
11/13/19,30.299999
11/12/19,30.23
11/11/19,30.01
11/8/19,29.5
11/7/19,29.65
11/6/19,29.68
11/5/19,29.85
11/4/19,29.9
11/1/19,29.530001
10/31/19,28.91
10/30/19,29.129999
10/29/19,29.18
10/28/19,29.110001
10/25/19,28.43
10/24/19,28.77
10/23/19,28.23
10/22/19,27.540001
10/21/19,27.700001
10/18/19,27.4
10/17/19,28.48
10/16/19,28.6
10/15/19,28.200001
10/14/19,27.280001
10/11/19,27.059999
10/10/19,26.34
10/9/19,26.32
10/8/19,26.23
10/7/19,26.32
10/4/19,26.459999
10/3/19,25.91
10/2/19,25.43
10/1/19,26.24
9/30/19,27.23
9/27/19,27.549999
9/26/19,27.51
9/25/19,27.190001
9/24/19,27.42
9/23/19,27.4
9/20/19,27.27
9/19/19,26.5
9/18/19,26.41
9/17/19,26.67
9/16/19,26.01
9/13/19,26.34
9/12/19,26.43
9/11/19,26.709999
9/10/19,26.5
9/9/19,26.540001
9/6/19,27.09
9/5/19,26.68
9/4/19,26.77
9/3/19,26.809999
8/30/19,27.629999
8/29/19,27.549999
8/28/19,27.57
8/27/19,27.41
8/26/19,27.65
8/23/19,27.190001
8/22/19,27.68
8/21/19,27.969999
8/20/19,27.59
8/19/19,27.5
8/16/19,27
8/15/19,26.84
8/14/19,26.620001
8/13/19,26.559999
8/12/19,26.219999
8/9/19,27.139999
8/8/19,27.59
8/7/19,26.49
8/6/19,23.65
8/5/19,23.120001
8/2/19,24.639999
8/1/19,24.969999
7/31/19,24.889999
7/30/19,24.870001
7/29/19,24.709999
7/26/19,24.41
7/25/19,23.9
7/24/19,23.91
7/23/19,23.98
7/22/19,23.98
7/19/19,24.1
7/18/19,24.629999
7/17/19,24.290001
7/16/19,23.84
7/15/19,23.52
7/12/19,23.459999
7/11/19,23.58
7/10/19,23.469999
7/9/19,23.33
7/8/19,23
7/5/19,24.35
7/3/19,25.299999
7/2/19,24.76
7/1/19,24.950001
6/28/19,24.059999
6/27/19,24.059999
6/26/19,23.639999
6/25/19,23.879999
6/24/19,23.280001
6/21/19,23.77
6/20/19,24.639999
6/19/19,24.1
6/18/19,23.530001
6/17/19,24.120001
6/14/19,22.809999
6/13/19,23.6
6/12/19,23.549999
6/11/19,23.27
6/10/19,23.360001
6/7/19,23.879999
6/6/19,24.120001
6/5/19,24.35
6/4/19,24.74
6/3/19,23.52
5/31/19,23.83
5/30/19,23.709999
5/29/19,24.33
5/28/19,24.48
5/24/19,24.83
5/23/19,24.6
5/22/19,25.57
5/21/19,25.950001
5/20/19,25.34
5/17/19,25.83
5/16/19,26.959999
5/15/19,26.66
5/14/19,26.950001
5/13/19,26.76
5/10/19,28.049999
5/9/19,28.48
5/8/19,28.299999
5/7/19,26.959999
5/6/19,27.450001
5/3/19,26.540001
5/2/19,25.99
5/1/19,25.799999
4/30/19,25.530001
4/29/19,26.15
4/26/19,25.82
4/25/19,25.299999
4/24/19,25.139999
4/23/19,25.26
4/22/19,24.530001
4/18/19,24.92
4/17/19,24.6
4/16/19,25.629999
4/15/19,26.01
4/12/19,26.040001
4/11/19,26.83
4/10/19,27.120001
4/9/19,27.120001
4/8/19,27.16
4/5/19,27.450001
4/4/19,27.139999
4/3/19,27.34
4/2/19,26.98
4/1/19,26.34
3/29/19,26.43
3/28/19,26.129999
3/27/19,26.02
3/26/19,26.68
3/25/19,26.870001
3/22/19,26.84
3/21/19,27.91
3/20/19,27.879999
3/19/19,28.209999
3/18/19,27.66
3/15/19,27.889999
3/14/19,27.309999
3/13/19,27.110001
3/12/19,26.809999
3/11/19,26.549999
3/8/19,26.559999
3/7/19,25.82
3/6/19,25.48
3/5/19,27.219999
3/4/19,28.01
3/1/19,28.18
2/28/19,29.01
2/27/19,21.85
2/26/19,20.889999
2/25/19,20.92
2/22/19,21.200001
2/21/19,21.24
2/20/19,21.540001
2/19/19,22.67
2/15/19,23.17
2/14/19,22.93
2/13/19,23.049999
2/12/19,23.049999
2/11/19,23.040001
2/8/19,22.9
2/7/19,22.790001
2/6/19,22.889999
2/5/19,23.23
2/4/19,22.540001
2/1/19,22.01
1/31/19,21.49
1/30/19,20.98
1/29/19,20.440001
1/28/19,20.41
1/25/19,21.41
1/24/19,21.4
1/23/19,21.879999
1/22/19,21.92
1/18/19,21.84
1/17/19,22.219999
1/16/19,21.92
1/15/19,22.15
1/14/19,21.940001
1/11/19,21.870001
1/10/19,21.530001
1/9/19,21.190001
1/8/19,21.360001
1/7/19,21.23
1/4/19,20.389999
1/3/19,19.49
1/2/19,19.93
12/31/18,19.540001
12/28/18,19.42
12/27/18,19.09
12/26/18,19.299999
12/24/18,18.18
12/21/18,18.41
12/20/18,18.889999
12/19/18,18.42
12/18/18,19.76
12/17/18,20
12/14/18,19.93
12/13/18,19.879999
12/12/18,19.77
12/11/18,19.559999
12/10/18,19.559999
12/7/18,19.65
12/6/18,20.059999
12/4/18,20.25
12/3/18,20.67
11/30/18,19.98
11/29/18,20.389999
11/28/18,20.450001
11/27/18,20.549999
11/26/18,21.07
11/23/18,21.15
11/21/18,20.9
11/20/18,20.57
11/19/18,22.219999
11/16/18,21.860001
11/15/18,21.25
11/14/18,21.24
11/13/18,21.85
11/12/18,21.74
11/9/18,22.290001
11/8/18,22.09
11/7/18,22.440001
11/6/18,19.35
11/5/18,19.48
11/2/18,19.299999
11/1/18,19.4
10/31/18,18.209999
10/30/18,18.459999
10/29/18,17.99
10/26/18,17.610001
10/25/18,16.959999
10/24/18,17.6
10/23/18,18.18
10/22/18,19.24
10/19/18,19.07
10/18/18,19.09
10/17/18,19.280001
10/16/18,19.219999
10/15/18,18.42
10/12/18,18.27
10/11/18,18.049999
10/10/18,18.139999
10/9/18,18.700001
10/8/18,18.15
10/5/18,18.889999
10/4/18,18.950001
10/3/18,18.93
10/2/18,18.709999
10/1/18,18.85
9/28/18,19.58
9/27/18,19.49
9/26/18,19.32
9/25/18,19.469999
9/24/18,19.209999
9/21/18,18.82
9/20/18,18.84
9/19/18,18.85
9/18/18,19.25
9/17/18,19.219999
9/14/18,20.34
9/13/18,20.58
9/12/18,20.91
9/11/18,20.51
9/10/18,20.5
9/7/18,20.6
9/6/18,20.52
9/5/18,20.950001
9/4/18,21.01
8/31/18,21.139999
8/30/18,20.66
8/29/18,20.27
8/28/18,20.190001
8/27/18,20.049999
8/24/18,20.190001
8/23/18,20.15
8/22/18,20.389999
8/21/18,20.5
8/20/18,20.629999
8/17/18,20.57
8/16/18,20.6
8/15/18,19.780001
8/14/18,20.540001
8/13/18,20.950001
8/10/18,20.950001
8/9/18,20.91
8/8/18,20.120001
8/7/18,18.16
8/6/18,17.99
8/3/18,17.969999
8/2/18,18.18
8/1/18,17.719999
7/31/18,17.629999
7/30/18,17.48
7/27/18,17.34
7/26/18,17.780001
7/25/18,17.690001
7/24/18,17.27
7/23/18,17.59
7/20/18,17.459999
7/19/18,17.360001
7/18/18,17.24
7/17/18,17.18
7/16/18,17.07
7/13/18,16.9
7/12/18,17.07
7/11/18,16.76
7/10/18,16.91
7/9/18,17.17
7/6/18,17
7/5/18,16.700001
7/3/18,16.799999
7/2/18,16.780001
6/29/18,16.559999
6/28/18,16.4
6/27/18,16.139999
6/26/18,16.84
6/25/18,17.02
6/22/18,17.67
6/21/18,17.629999
6/20/18,17.82
6/19/18,17.620001
6/18/18,17.440001
6/15/18,17.57
6/14/18,17.719999
6/13/18,17.440001
6/12/18,17.43
6/11/18,17.959999
6/8/18,17.26
6/7/18,16.34
6/6/18,16.33
6/5/18,16.370001
6/4/18,16.59
6/1/18,16.629999
5/31/18,16.299999
5/30/18,16.4
5/29/18,16.33
5/25/18,16.17
5/24/18,15.52
5/23/18,15.31
5/22/18,15.1
5/21/18,15.01
5/18/18,15.11
5/17/18,15.07
5/16/18,14.97
5/15/18,14.88
5/14/18,14.98
5/11/18,14.25
5/10/18,13.73
5/9/18,13.81
5/8/18,14.63
5/7/18,14.56
5/4/18,14.24
5/3/18,13.87
5/2/18,14.12
5/1/18,14.16
4/30/18,13.24
4/27/18,13.4
4/26/18,13.78
4/25/18,13.69
4/24/18,13.77
4/23/18,13.94
4/20/18,13.71
4/19/18,13.83
4/18/18,13.99
4/17/18,13.66
4/16/18,13.27
4/13/18,13.7
4/12/18,13.77
4/11/18,13.78
4/10/18,13.86
4/9/18,13.64
4/6/18,13.65
4/5/18,14.19
4/4/18,13.98
4/3/18,13.96
4/2/18,13.8
3/29/18,14.2
3/28/18,14.06
3/27/18,13.92
3/26/18,14.29
3/23/18,13.86
3/22/18,14.14
3/21/18,14.56
3/20/18,14.57
3/19/18,14.65
3/16/18,14.94
3/15/18,15.07
3/14/18,15.31
3/13/18,15.25
3/12/18,15.59
3/9/18,15.73
3/8/18,15.58
3/7/18,15.55
3/6/18,15.68
3/5/18,15.83
3/2/18,15.44
3/1/18,14.78
2/28/18,14.58
2/27/18,14.19
2/26/18,14.59
2/23/18,14.1
2/22/18,13.96
2/21/18,14.09
2/20/18,13.88
2/16/18,13.89
2/15/18,14.09
2/14/18,14.11
2/13/18,13.92
2/12/18,14.05
2/9/18,13.76
2/8/18,13.51
2/7/18,14.05
2/6/18,14.05
2/5/18,13.82
2/2/18,14.45
2/1/18,14.7
1/31/18,14.55
1/30/18,15.08
1/29/18,15.34
1/26/18,15.6
1/25/18,15.62
1/24/18,15.55
1/23/18,15.97
1/22/18,15.38
1/19/18,15.04
1/18/18,15.21
1/17/18,14.99
1/16/18,14.62
1/12/18,15.18
1/11/18,15.09
1/10/18,15.16
1/9/18,15.38
1/8/18,15.53
1/5/18,15.45
1/4/18,15.37
1/3/18,15.23
1/2/18,15.02
12/29/17,14.6
12/28/17,14.94
12/27/17,15.01
12/26/17,14.94
12/22/17,14.9
12/21/17,15.06
12/20/17,14.86
12/19/17,14.81
12/18/17,14.89
12/15/17,15
12/14/17,14.84
12/13/17,15.07
12/12/17,14.68
12/11/17,14.77
12/8/17,14.9
12/7/17,14.55
12/6/17,14.48
12/5/17,14.44
12/4/17,14.06
12/1/17,14.33
11/30/17,14.38
11/29/17,13.77
11/28/17,13.49
11/27/17,13.57
11/24/17,13.77
11/22/17,14.09
11/21/17,14
11/20/17,13.65
11/17/17,13.65
11/16/17,13.48
11/15/17,13.13
11/14/17,13.07
11/13/17,13.42
11/10/17,13.57
11/9/17,13.25
11/8/17,13.4
11/7/17,14
11/6/17,14.35
11/3/17,14.17
11/2/17,13.84
11/1/17,13.83
10/31/17,13.56
10/30/17,13.73
10/27/17,13.78
10/26/17,13.62
10/25/17,13.53
10/24/17,13.75
10/23/17,13.86
10/20/17,14.09
10/19/17,14.14
10/18/17,13.83
10/17/17,13.78
10/16/17,13.59
10/13/17,13.91
10/12/17,13.87
10/11/17,13.83
10/10/17,13.7
10/9/17,13.58
10/6/17,13.54
10/5/17,13.99
10/4/17,13.67
10/3/17,13
10/2/17,13.49
9/29/17,12.68
9/28/17,12.54
9/27/17,12.51
9/26/17,11.95
9/25/17,12.17
9/22/17,12.32
9/21/17,12.27
9/20/17,12.11
9/19/17,12.1
9/18/17,11.84
9/15/17,12.11
9/14/17,12.29
9/13/17,12.71
9/12/17,13.42
9/11/17,14.05
9/8/17,13.83
9/7/17,13.43
9/6/17,13.38
9/5/17,13.33
9/1/17,13.62
8/31/17,13.68
8/30/17,13.3
8/29/17,13.29
8/28/17,13.43
8/25/17,13.14
8/24/17,13.35
8/23/17,12.93
8/22/17,13.12
8/21/17,13.17
8/18/17,13.31
8/17/17,13.14
8/16/17,11.89
8/15/17,11.94
8/14/17,11.93
8/11/17,12.08
8/10/17,11.54
8/9/17,11.94
8/8/17,12.25
8/7/17,13.3
8/4/17,12.7
8/3/17,12.34
8/2/17,12.19
8/1/17,12.25
7/31/17,11.98
7/28/17,12.16
7/27/17,12.66
7/26/17,13.22
7/25/17,13.48
7/24/17,13.16
7/21/17,12.87
7/20/17,12.91
7/19/17,13.01
7/18/17,12.85
7/17/17,12.8
7/14/17,13.02
7/13/17,13.18
7/12/17,12.7
7/11/17,12.62
7/10/17,12.28
7/7/17,12.33
7/6/17,12.38
7/5/17,12.5
7/3/17,12.12
6/30/17,11.87
6/29/17,11.82
6/28/17,11.84
6/27/17,11.47
6/26/17,12.02
6/23/17,11.73
6/22/17,11.87
6/21/17,11.43
6/20/17,10.84
6/19/17,10.7
6/16/17,10.29
6/15/17,10.2
6/14/17,10.75
6/13/17,10.97
6/12/17,11
6/9/17,11.2
6/8/17,11.45
6/7/17,11.08
6/6/17,11.04
6/5/17,10.92
6/2/17,10.69
6/1/17,10.55
5/31/17,10
5/30/17,10.09
5/26/17,10.2
5/25/17,9.97
5/24/17,10.12
5/23/17,10.17
5/22/17,10.33
5/19/17,10.5
5/18/17,10.66
5/17/17,10.94
5/16/17,10.83
5/15/17,10.75
5/12/17,10.19
5/11/17,10.3
5/10/17,9.65
5/9/17,9.92
5/8/17,10.12
5/5/17,15.58
5/4/17,15.27
5/3/17,15.12
5/2/17,15.75
5/1/17,15.69
4/28/17,15.38
4/27/17,15.49
4/26/17,15.35
4/25/17,15.16
4/24/17,15.2
4/21/17,14.99
4/20/17,15.24
4/19/17,15.2
4/18/17,15.04
4/17/17,15.2
4/13/17,15.33
4/12/17,15.18
4/11/17,15.13
4/10/17,15.4
4/7/17,14.98
4/6/17,14.43
4/5/17,14.19
4/4/17,14.35
4/3/17,14.54
3/31/17,14.78
3/30/17,15.01
3/29/17,15.11
3/28/17,14.41
3/27/17,14.84
3/24/17,14.37
3/23/17,14.56
3/22/17,14.52
3/21/17,14.49
3/20/17,15.05
3/17/17,15.13
3/16/17,15.36
3/15/17,15.59
3/14/17,15.26
3/13/17,15.22
3/10/17,15.4
3/9/17,14.82
3/8/17,15.02
3/7/17,14.97
3/6/17,15.5
3/3/17,16.110001
3/2/17,16.1
3/1/17,16.15
2/28/17,16.049999
2/27/17,16.48
2/24/17,17.450001
2/23/17,17.15
2/22/17,17.040001
2/21/17,17.190001
2/17/17,16.969999
2/16/17,17.02
2/15/17,17.33
2/14/17,16.780001
2/13/17,16.41
2/10/17,16.33
2/9/17,16.74
2/8/17,16.74
2/7/17,16.629999
2/6/17,16.860001
2/3/17,16.85
2/2/17,16.6
2/1/17,16.51
1/31/17,16.370001
1/30/17,15.53
1/27/17,15.96
1/26/17,15.86
1/25/17,16.34
1/24/17,16.5
1/23/17,16.469999
1/20/17,16.799999
1/19/17,16.860001
1/18/17,17.120001
1/17/17,16.75
1/13/17,17.43
1/12/17,17.32
1/11/17,17.309999
1/10/17,18.09
1/9/17,17.75
1/6/17,17.52
1/5/17,17.07
1/4/17,17.280001
1/3/17,16.889999
12/30/16,16.18
12/29/16,16.200001
12/28/16,16.27
12/27/16,16.790001
12/23/16,17.02
12/22/16,16.01
12/21/16,16
12/20/16,15.9
12/19/16,16.07
12/16/16,16.440001
12/15/16,14.93
12/14/16,15.1
12/13/16,14.95
12/12/16,14.55
12/9/16,14.83
12/8/16,15.03
12/7/16,19.389999
12/6/16,20.209999
12/5/16,19.67
12/2/16,19.9
12/1/16,19.43
11/30/16,19.799999
11/29/16,21.049999
11/28/16,21.18
11/25/16,21.49
11/23/16,21.700001
11/22/16,21.200001
11/21/16,21.450001
11/18/16,21.41
11/17/16,21.610001
11/16/16,21.129999
11/15/16,20.860001
11/14/16,20.459999
11/11/16,20.299999
11/10/16,19.870001
11/9/16,18.700001
11/8/16,17.4
11/7/16,17.16
11/4/16,15.05
11/3/16,15.02
11/2/16,16.18
11/1/16,16.91
10/31/16,16.719999
10/28/16,17.85
10/27/16,18.34
10/26/16,18.139999
10/25/16,18.309999
