Date,price
11/20/20,488.23999
11/19/20,484.670013
11/18/20,481.790009
11/17/20,480.630005
11/16/20,479.100006
11/13/20,482.839996
11/12/20,486.769989
11/11/20,490.76001
11/10/20,480.23999
11/9/20,470.5
11/6/20,514.72998
11/5/20,513.76001
11/4/20,496.950012
11/3/20,487.220001
11/2/20,484.119995
10/30/20,475.73999
10/29/20,504.209991
10/28/20,486.23999
10/27/20,488.929993
10/26/20,488.23999
10/23/20,488.279999
10/22/20,485.230011
10/21/20,489.049988
10/20/20,525.419983
10/19/20,530.719971
10/16/20,530.789978
10/15/20,541.940002
10/14/20,541.450012
10/13/20,554.090027
10/12/20,539.809998
10/9/20,539.440002
10/8/20,531.789978
10/7/20,534.659973
10/6/20,505.869995
10/5/20,520.650024
10/2/20,503.059998
10/1/20,527.51001
9/30/20,500.029999
9/29/20,493.480011
9/28/20,490.649994
9/25/20,482.880005
9/24/20,473.079987
9/23/20,470.609985
9/22/20,491.170013
9/21/20,487.350006
9/18/20,469.959991
9/17/20,470.200012
9/16/20,483.859985
9/15/20,495.98999
9/14/20,476.26001
9/11/20,482.029999
9/10/20,480.670013
9/9/20,500.190002
9/8/20,507.019989
9/4/20,516.049988
9/3/20,525.75
9/2/20,552.840027
9/1/20,556.549988
8/31/20,529.559998
8/28/20,523.890015
8/27/20,526.27002
8/26/20,547.530029
8/25/20,490.579987
8/24/20,488.809998
8/21/20,492.309998
8/20/20,497.899994
8/19/20,484.529999
8/18/20,491.869995
8/17/20,482.350006
8/14/20,482.679993
8/13/20,481.329987
8/12/20,475.470001
8/11/20,466.929993
8/10/20,483.380005
8/7/20,494.730011
8/6/20,509.079987
8/5/20,502.109985
8/4/20,509.640015
8/3/20,498.619995
7/31/20,488.880005
7/30/20,485.799988
7/29/20,484.480011
7/28/20,488.51001
7/27/20,495.649994
7/24/20,480.450012
7/23/20,477.579987
7/22/20,489.820007
7/21/20,490.100006
7/20/20,502.410004
7/17/20,492.98999
7/16/20,527.390015
7/15/20,523.26001
7/14/20,524.880005
7/13/20,525.5
7/10/20,548.72998
7/9/20,507.76001
7/8/20,502.779999
7/7/20,493.160004
7/6/20,493.809998
7/2/20,476.890015
7/1/20,485.640015
6/30/20,455.040009
6/29/20,447.23999
6/26/20,443.399994
6/25/20,465.910004
6/24/20,457.850006
6/23/20,466.26001
6/22/20,468.040009
6/19/20,453.720001
6/18/20,449.869995
6/17/20,447.769989
6/16/20,436.130005
6/15/20,425.5
6/12/20,418.070007
6/11/20,425.559998
6/10/20,434.480011
6/9/20,434.049988
6/8/20,419.48999
6/5/20,419.600006
6/4/20,414.329987
6/3/20,421.970001
6/2/20,427.309998
6/1/20,425.920013
5/29/20,419.730011
5/28/20,413.440002
5/27/20,419.890015
5/26/20,414.769989
5/22/20,429.320007
5/21/20,436.25
5/20/20,447.670013
5/19/20,451.040009
5/18/20,452.579987
5/15/20,454.190002
5/14/20,441.950012
5/13/20,438.269989
5/12/20,431.820007
5/11/20,440.519989
5/8/20,435.549988
5/7/20,436.529999
5/6/20,434.26001
5/5/20,424.679993
5/4/20,428.149994
5/1/20,415.269989
4/30/20,419.850006
4/29/20,411.890015
4/28/20,403.829987
4/27/20,421.380005
4/24/20,424.98999
4/23/20,426.700012
4/22/20,421.420013
4/21/20,433.829987
4/20/20,437.48999
4/17/20,422.959991
4/16/20,439.170013
4/15/20,426.75
4/14/20,413.549988
4/13/20,396.720001
4/9/20,370.720001
4/8/20,371.119995
4/7/20,372.279999
4/6/20,379.959991
4/3/20,361.76001
4/2/20,370.079987
4/1/20,364.079987
3/31/20,375.5
3/30/20,370.959991
3/27/20,357.119995
3/26/20,362.98999
3/25/20,342.390015
3/24/20,357.320007
3/23/20,360.269989
3/20/20,332.829987
3/19/20,332.029999
3/18/20,315.470001
3/17/20,319.75
3/16/20,298.839996
3/13/20,336.299988
3/12/20,315.25
3/11/20,349.920013
3/10/20,364.130005
3/9/20,346.48999
3/6/20,368.970001
3/5/20,372.779999
3/4/20,383.790009
3/3/20,368.769989
3/2/20,381.049988
2/28/20,369.029999
2/27/20,371.709991
2/26/20,379.23999
2/25/20,360.089996
2/24/20,368.700012
2/21/20,380.070007
2/20/20,386
2/19/20,386.190002
2/18/20,387.779999
2/14/20,380.399994
2/13/20,381.399994
2/12/20,380.01001
2/11/20,373.690002
2/10/20,371.070007
