Date,price
11/20/20,16.76
11/19/20,17.27
11/18/20,17.110001
11/17/20,17.559999
11/16/20,16.950001
11/13/20,17.27
11/12/20,17.139999
11/11/20,17.110001
11/10/20,16.84
11/9/20,17.09
11/6/20,17.42
11/5/20,16.889999
11/4/20,16.969999
11/3/20,15.77
11/2/20,16.120001
10/30/20,15.84
10/29/20,16.209999
10/28/20,15.91
10/27/20,16.48
10/26/20,16.969999
10/23/20,17.540001
10/22/20,17.18
10/21/20,16.610001
10/20/20,17.17
10/19/20,16.870001
10/16/20,17.139999
10/15/20,17.690001
10/14/20,17.540001
10/13/20,16.98
10/12/20,17.26
10/9/20,17.870001
10/8/20,18.129999
10/7/20,17.82
10/6/20,17.190001
10/5/20,17.280001
10/2/20,16.280001
10/1/20,16.709999
9/30/20,16.59
9/29/20,16.889999
9/28/20,16.84
9/25/20,17.610001
9/24/20,18.030001
9/23/20,18.91
9/22/20,19.9
9/21/20,19.41
9/18/20,20.17
9/17/20,20.34
9/16/20,20.309999
9/15/20,20.01
9/14/20,19.75
9/11/20,18.82
9/10/20,18.82
9/9/20,18.85
9/8/20,18.440001
9/4/20,18.92
9/3/20,19.15
9/2/20,19.200001
9/1/20,19.15
8/31/20,19.34
8/28/20,19.139999
8/27/20,19.17
8/26/20,19.450001
8/25/20,19.34
8/24/20,19.16
8/21/20,19.15
8/20/20,19.18
8/19/20,19.309999
8/18/20,19.49
8/17/20,19.610001
8/14/20,19.549999
8/13/20,20.049999
8/12/20,20.1
8/11/20,20.4
8/10/20,21.360001
8/7/20,21.85
8/6/20,21.51
8/5/20,21.75
8/4/20,21.92
8/3/20,22.08
7/31/20,22.16
7/30/20,23.27
7/29/20,22.719999
7/28/20,23.190001
7/27/20,23.65
7/24/20,23.08
7/23/20,23.76
7/22/20,24.01
7/21/20,24.309999
7/20/20,24.58
7/17/20,24.370001
7/16/20,23.959999
7/15/20,24.66
7/14/20,23.59
7/13/20,23.360001
7/10/20,24.030001
7/9/20,24.41
7/8/20,24.790001
7/7/20,24.139999
7/6/20,23.98
7/2/20,23.52
7/1/20,23.450001
6/30/20,23.16
6/29/20,22.42
6/26/20,22.049999
6/25/20,22.49
6/24/20,22.09
6/23/20,22.969999
6/22/20,23.440001
6/19/20,22.82
6/18/20,21.98
6/17/20,21.709999
6/16/20,21.299999
6/15/20,20.74
6/12/20,20.49
6/11/20,20.26
6/10/20,21.82
6/9/20,22.16
6/8/20,22.6
6/5/20,22.27
6/4/20,23.1
6/3/20,22.629999
6/2/20,21.799999
6/1/20,21.629999
5/29/20,21.700001
5/28/20,22.209999
5/27/20,22.85
5/26/20,22.790001
5/22/20,23.040001
5/21/20,22.870001
5/20/20,22.969999
5/19/20,22.35
5/18/20,22.620001
5/15/20,22.02
5/14/20,21.35
5/13/20,21.75
5/12/20,21.73
5/11/20,22.67
5/8/20,20.77
5/7/20,19.879999
5/6/20,19.530001
5/5/20,19.48
5/4/20,19.07
5/1/20,18.059999
4/30/20,19.200001
4/29/20,19.68
4/28/20,19.889999
4/27/20,20.09
4/24/20,19.6
4/23/20,19.389999
4/22/20,19.5
4/21/20,19.02
4/20/20,20.110001
4/17/20,19.43
4/16/20,18.370001
4/15/20,18.4
4/14/20,19.209999
4/13/20,18.66
4/9/20,18.780001
4/8/20,18.440001
4/7/20,17.59
4/6/20,18.059999
4/3/20,16.860001
4/2/20,17.08
4/1/20,17.58
3/31/20,17.85
3/30/20,18.059999
3/27/20,17.23
3/26/20,17.51
3/25/20,16.93
3/24/20,16.860001
3/23/20,16.07
3/20/20,16.27
3/19/20,17.209999
3/18/20,16.309999
3/17/20,15.9
3/16/20,14.47
3/13/20,16.6
3/12/20,16.110001
3/11/20,16.469999
3/10/20,17.98
3/9/20,17.719999
3/6/20,19.709999
3/5/20,20.15
3/4/20,20.379999
3/3/20,19.43
3/2/20,20.1
2/28/20,20.809999
2/27/20,20.530001
2/26/20,21.41
2/25/20,22.15
2/24/20,22.360001
2/21/20,23.530001
2/20/20,23.67
2/19/20,22.84
2/18/20,22.049999
2/14/20,23.129999
2/13/20,22.85
2/12/20,23.48
2/11/20,22.4
2/10/20,22.360001
2/7/20,22.610001
2/6/20,22.809999
2/5/20,22.93
2/4/20,22.040001
2/3/20,21.540001
1/31/20,19.889999
1/30/20,20.290001
1/29/20,20.57
1/28/20,20.370001
1/27/20,19.77
1/24/20,21.129999
1/23/20,21.77
1/22/20,22.129999
1/21/20,22.42
1/17/20,22.48
1/16/20,23.9
1/15/20,23.49
1/14/20,27.959999
1/13/20,27.4
1/10/20,26.92
1/9/20,21.59
1/8/20,21.76
1/7/20,21.26
1/6/20,21
1/3/20,20.530001
1/2/20,20.959999
12/31/19,21.59
12/30/19,20.77
12/27/19,21.57
12/26/19,21.98
12/24/19,22.33
12/23/19,21.85
12/20/19,21.32
12/19/19,21.620001
12/18/19,21.290001
12/17/19,21.469999
12/16/19,20.92
12/13/19,21.27
12/12/19,21.790001
12/11/19,21.6
12/10/19,22.450001
12/9/19,23.120001
12/6/19,20.450001
12/5/19,19.860001
12/4/19,20.299999
12/3/19,19.450001
12/2/19,19.48
11/29/19,20.290001
11/27/19,20.540001
11/26/19,20.469999
11/25/19,21.190001
11/22/19,21.07
11/21/19,20.110001
11/20/19,19.93
11/19/19,18.309999
11/18/19,18.01
11/15/19,19.65
11/14/19,19.43
11/13/19,19.940001
11/12/19,20.35
11/11/19,20.98
11/8/19,20.040001
11/7/19,18.700001
11/6/19,18.1
11/5/19,18.540001
11/4/19,18.469999
11/1/19,18.309999
10/31/19,17.129999
10/30/19,17.549999
10/29/19,17.629999
10/28/19,17.700001
10/25/19,16.68
10/24/19,16.469999
10/23/19,16.77
10/22/19,17.200001
10/21/19,17.73
10/18/19,17.27
10/17/19,17.77
10/16/19,17.540001
10/15/19,17.299999
10/14/19,15.87
10/11/19,17.09
10/10/19,16.129999
10/9/19,16.709999
