SUPNdate,SUPNnews,SUPNsource
11/21/20,"SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Supernus Pharmaceuticals, Inc. - SUPN",PMZ
11/19/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Piper Sandler Health Care Conference - Pre-recorded for 23-November-2020",FCSTEV
11/19/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Investor Meeting for 3-December-2020",FCSTEV
11/18/20,Supernus to Participate in Annual Piper Sandler Healthcare Conference,PMZ
11/18/20,"Glancy Prongay & Murray LLP, a Leading Securities Fraud Law Firm, Announces Investigation of Supernus Pharmaceuticals, Inc. (SUPN) on Behalf of Investors",BW
11/12/20,DJ Press Release: Supernus to Present at Two November Investor Conferences,DJGM
11/12/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies Healthcare Conference for 17-November-2020 1:45 PM ET",FCSTEV
11/12/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Stifel Healthcare Conference for 16-November-2020 9:20 AM ET",FCSTEV
11/11/20,Supernus to Present at Two November Investor Conferences,PMZ
11/09/20,DJ Press Release: Supernus Provides Regulatory Updates for SPN-812 and SPN-830,DJGM
11/09/20,Supernus Provides Regulatory Updates for SPN-812 and SPN-830,PMZ
11/04/20,"Supernus Pharmaceuticals, Inc. to Host Earnings Call",NEWS_ACW
11/03/20,DJ Press Release: Supernus Announces Third Quarter -2-,DJGM
11/03/20,DJ Press Release: Supernus Announces Third Quarter 2020 Financial Results,DJGM
11/03/20,Supernus Announces Third Quarter 2020 Financial Results,PMZ
10/27/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2020 Earnings Call for 4-November-2020 9:00 AM ET",FCSTEV
10/27/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2020 Earnings Release for 3-November-2020 5:00 PM ET",FCSTEV
10/27/20,DJ Press Release: Supernus to Host Third Quarter 2020 Financial Results Conference Call,DJGM
10/27/20,Supernus to Host Third Quarter 2020 Financial Results Conference Call,PMZ
10/05/20,Supernus Pharmaceuticals Appoints James Kelly as Chief Financial Officer,PMZ
10/05/20,DJ Press Release: Supernus Pharmaceuticals Appoints James Kelly as Chief Financial Officer,DJGM
09/14/20,Supernus Submits NDA for SPN-830 for Continuous Treatment of ON-OFF Episodes in Adults with Parkinson's Disease Who Have Failed Two Treatments,PMZ
09/14/20,DJ Press Release: Supernus Submits NDA for SPN-830 for Continuous Treatment of ON-OFF Episodes in Adults with Parkinson's Disease Who Have Failed Two Treatments,DJGM
09/10/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Morgan Stanley Global Healthcare Conference for 16-September-2020 2:00 PM ET",FCSTEV
09/09/20,DJ Press Release: Supernus to Present at the Morgan Stanley 18th Annual Global Healthcare Conference,DJGM
09/09/20,Supernus to Present at the Morgan Stanley 18th Annual Global Healthcare Conference,PMZ
09/03/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Wells Fargo Global Healthcare Conference for 9-September-2020 9:20 AM ET",FCSTEV
09/02/20,DJ Press Release: Supernus to Present at the Wells Fargo Virtual Health Care Conference,DJGM
09/02/20,Supernus to Present at the Wells Fargo Virtual Health Care Conference,PMZ
08/18/20,Supernus Announces Second Quarter 2020 Financial Results,PMZ
08/18/20,DJ Press Release: Supernus Announces Second Quarter -2-,DJGM
08/18/20,DJ Press Release: Supernus Announces Second Quarter 2020 Financial Results,DJGM
08/11/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2020 Earnings Call for 19-August-2020 9:00 AM ET",FCSTEV
