ZGNXdate,ZGNXnews,ZGNXsource
11/11/20,"Zogenix, Inc.(ZGNX-US) Schedules Stifel Healthcare Conference for 18-November-2020 10:00 AM ET",FCSTEV
11/11/20,DJ Press Release: Zogenix to Participate in the Stifel 2020 Virtual Healthcare Conference,DJGM
11/11/20,Zogenix to Participate in the Stifel 2020 Virtual Healthcare Conference,PMZ
11/09/20,DJ Press Release: Zogenix Provides Corporate Update -2-,DJGM
11/09/20,DJ Press Release: Zogenix Provides Corporate Update and Reports Third Quarter 2020 Financial Results,DJGM
11/09/20,Zogenix Provides Corporate Update and Reports Third Quarter 2020 Financial Results,PMZ
11/09/20,"Zogenix, Inc. to Host Earnings Call",NEWS_ACW
10/29/20,DJ Press Release: Zogenix Announces Date Change for Third Quarter 2020 Financial Results and Conference Call and Webcast to November 9,DJGM
10/29/20,Zogenix Announces Date Change for Third Quarter 2020 Financial Results and Conference Call and Webcast to November 9,PMZ
10/26/20,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2020 Earnings Call for 9-November-2020 4:30 PM ET",FCSTEV
10/26/20,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2020 Earnings Release for 9-November-2020 4:01 PM ET",FCSTEV
10/26/20,DJ Press Release: Zogenix to Release Third Quarter 2020 Financial Results and Host Conference Call and Webcast on November 10,DJGM
10/26/20,Zogenix to Release Third Quarter 2020 Financial Results and Host Conference Call and Webcast on November 10,PMZ
10/16/20,Zogenix Receives Positive CHMP Opinion for FINTEPLA¬ (Fenfluramine) Oral Solution for the Treatment of Seizures in Patients with Dravet Syndrome,PMZ
10/16/20,DJ Press Release: Zogenix Receives Positive CHMP -2-,DJGM
10/16/20,DJ Press Release: Zogenix Receives Positive CHMP Opinion for FINTEPLA(R) (Fenfluramine) Oral Solution for the Treatment of Seizures in Patients with Dravet Syndrome,DJGM
10/15/20,Zogenix Presents New Data for FINTEPLA¬æin Dravet Syndrome at CNS 2020,PMZ
10/15/20,DJ Press Release: Zogenix Presents New Data for FINTEPLA(R) in Dravet Syndrome at CNS 2020,DJGM
10/05/20,"Zogenix, Inc. Announces Closing of Exercise by Initial Purchasers of Option to Purchase an Additional $30.0 Million of 2.75% Convertible Senior Notes Due 2027",PMZ
10/05/20,"DJ Press Release: Zogenix, Inc. Announces Closing of Exercise by Initial Purchasers of Option to Purchase an Additional $30.0 Million of 2.75% Convertible Senior Notes Due 2027",DJGM
10/02/20,Zogenix Presents New Data  at the World Muscle Society Conference 2020,PMZ
10/02/20,DJ Press Release: Zogenix Presents New Data at the World Muscle Society Conference 2020,DJGM
09/23/20,"Zogenix, Inc. Prices $200.0 Million Convertible Senior Notes Offering",PMZ
09/23/20,"DJ Press Release: Zogenix, Inc. Prices $200.0 Million Convertible Senior Notes Offering",DJGM
09/22/20,"Zogenix, Inc. Announces Proposed Convertible Senior Notes Offering ",PMZ
09/22/20,"DJ Press Release: Zogenix, Inc. Announces Proposed Convertible Senior Notes Offering",DJGM
09/21/20,DJ Press Release: CORRECTING and REPLACING - Zogenix Appoints Three Industry Leaders to Its Board of Directors,DJGM
09/21/20,CORRECTING and REPLACING - Zogenix Appoints Three Industry Leaders to Its Board of Directors,PMZ
