date,AMZN,FB,GOOGL,HZNP,MRNA,NFLX,NKTR,SUPN,TSLA,ZGNX,AMZNdate,AMZNnews,AMZNsource,FBdate,FBnews,FBsource,GOOGLdate,GOOGLnews,GOOGLsource,HZNPdate,HZNPnews,HZNPsource,MRNAdate,MRNAnews,MRNAsource,NFLXdate,NFLXnews,NFLXsource,NKTRdate,NKTRnews,NKTRsource,SUPNdate,SUPNnews,SUPNsource,TSLAdate,TSLAnews,TSLAsource,ZGNXdate,ZGNXnews,ZGNXsource,AMZNsector,FBsector,GOOGLsector,HZNPsector,MRNAsector,NFLXsector,NKTRsector,SUPNsector,TSLAsector,ZGNXsector
11/20/20,3099.4,269.7,1736.38,70.15,97.61,488.24,16.76,20.78,489.61,19.88,11/19/20,DJ Press Release: Amazon Announces 2020's Best Books of the Year,DJGM,11/19/20,DJ pressetext.de: WhatsApp testet Senden von stummen Videos - Neues Feature entfernt im Voraus die Tonspur und erspart somit die Umwandlung in GIFs,DJPA,11/19/20,DJ Press Release: Green Dot to Collaborate with Google Pay to Offer Plex Accounts,DJGM,11/17/20,DJ Press Release: National Association for Business Resources Names Horizon Therapeutics One of the Best and Brightest Companies to Work For in the Nation,DJGM,11/20/20,IEEE InTech Virtual Forum Unites Global Leaders to Examine Tech Industry's Response to Covid-19,PRN,11/17/20,"Netflix, Inc.(NFLX-US) Schedules RBC Capital Markets Global Technology, Internet, Media and Telecommunications Conference for 17-November-2020 1:20 PM ET",FCSTEV,11/11/20,DJ Press Release: Nektar Therapeutics Presents New -3-,DJGM,11/21/20,"SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Supernus Pharmaceuticals, Inc. - SUPN",PMZ,11/16/20,Tesla Set to Join S&P 500,PRN,11/11/20,"Zogenix, Inc.(ZGNX-US) Schedules Stifel Healthcare Conference for 18-November-2020 10:00 AM ET",FCSTEV,tech,tech,tech,biotech,biotech,tech,biotech,biotech,tech,biotech
11/19/20,3117.02,272.94,1758.57,71.09,92.77,484.67,17.27,21.11,499.27,19.86,11/19/20,Amazon Announces 2020's Best Books of the Year,BW,11/18/20,DJ Press Release: ServiceNow and Workplace from Facebook Expand Integrations to Improve the Employee Experience,DJGM,11/19/20,DJ Press Release: Citi Selects Mastercard as Network Partner for the Citi Plex Account by Google Pay,DJGM,11/17/20,National Association for Business Resources Names Horizon Therapeutics One of the Best and Brightest Companies to Work For in the Nation,BW,11/17/20,"US Infectious Disease Physicians Predict a COVID-19 Vaccine by May 2021, According to InCrowd Data ",BW,11/06/20,DJ Press Release: S&PGR Revises Netflix Inc. Outlook -2-,DJGM,11/11/20,DJ Press Release: Nektar Therapeutics Presents New -2-,DJGM,11/19/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Piper Sandler Health Care Conference - Pre-recorded for 23-November-2020",FCSTEV,11/04/20,"What Sells Electric Cars, IDTechEx Reports",PRN,11/11/20,DJ Press Release: Zogenix to Participate in the Stifel 2020 Virtual Healthcare Conference,DJGM,,,,,,,,,,
11/18/20,3105.46,271.97,1740.64,70.06,88.89,481.79,17.11,21.46,486.64,20.05,11/19/20,"Amazon und Global Optimism hei§en Henkel und Signify zum Klimaversprechen (ãThe Climate Pledge"") willkommen",BW,11/17/20,Facebook Presents Free Small Business Training at Nov. 19 FCEDA Tech4Growth Webinar,BW,11/17/20,"DJ Press Release: ROSEN, A LEADING LAW FIRM, Announces Investigation of Securities Claims Against Alphabet Inc.; Encourages Investors with Losses in Excess of $100K to Contact the Firm - GOOG, GOOGL",DJGM,11/16/20,DJ Press Release: First Thyroid Eye Disease (TED) Awareness Week to Increase Education and Understanding of Vision-Threatening Disease,DJGM,11/17/20,European Medicines Agency Begins Rolling Review of Moderna's mRNA Vaccine Candidate Against COVID-19 (mRNA-1273),BW,11/06/20,DJ Press Release: S&PGR Revises Netflix Inc. Outlook To Positive; Affirms Rtgs,DJGM,11/11/20,DJ Press Release: Nektar Therapeutics Presents New Data from Its Immuno-Oncology Pipeline at the 2020 Society for Immunotherapy of Cancer (SITC) Annual Meeting,DJGM,11/19/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Investor Meeting for 3-December-2020",FCSTEV,10/21/20,Tesla Motors Reports Third Quarter 2020 Financial Results,NEWS_CR,11/11/20,Zogenix to Participate in the Stifel 2020 Virtual Healthcare Conference,PMZ,,,,,,,,,,
11/17/20,3135.66,275,1761.66,71.47,93.15,480.63,17.56,22.4,441.61,20.79,11/19/20,Amazon et Global Optimism accueillent Henkel et Signify dans l'Engagement Climat,BW,11/13/20,"DJ pressetext.de: ""Vanish Mode"": Instagram-Chats nicht fŸr ewig - Text verschwindet bei Verlassen der Konversation automatisch - Gleiches gilt fŸr Messenger",DJPA,11/17/20,"ROSEN, A LEADING LAW FIRM, Announces Investigation of Securities Claims Against Alphabet Inc.; Encourages Investors with Losses in Excess of $100K to Contact the Firm - GOOG, GOOGL",PRN,11/16/20,First Thyroid Eye Disease (TED) Awareness Week to Increase Education and Understanding of Vision-Threatening Disease ,BW,11/17/20,DJ Press Release: European Medicines Agency Begins Rolling Review of Moderna's mRNA Vaccine Candidate Against COVID-19 (mRNA-1273),DJGM,11/06/20,Headline: DJ S&PGR Revises Netflix Inc. Outlook To Positive; Affirms Rtgs,DJGM,11/11/20,Nektar Therapeutics Presents New Data from Its Immuno-Oncology Pipeline at the 2020 Society for Immunotherapy of Cancer (SITC) Annual Meeting,PRN,11/18/20,Supernus to Participate in Annual Piper Sandler Healthcare Conference,PMZ,10/21/20,Tesla Releases Third Quarter 2020 Financial Results,PMZ,11/09/20,DJ Press Release: Zogenix Provides Corporate Update -2-,DJGM,,,,,,,,,,
11/16/20,3131.06,278.96,1774.03,70.88,97.95,479.1,16.95,22.36,408.09,21.1,11/18/20,____ ______________ __________,PRNA,11/12/20,BandwidthX Selected to Join Facebook Accelerator: Connectivity,PRN,11/16/20,DJ Press Release: Qualys Partners with Google Cloud to Add Container Security Support for Google Cloud Artifact Registry,DJGM,11/13/20,DJ Press Release: New Data Build on Growing Evidence -2-,DJGM,11/17/20,Moderna Announces Supply Agreement with United Kingdom Government to Supply mRNA Vaccine Against COVID-19 (mRNA-1273) if Approved for Use,BW,10/20/20,Netflix Q3 2020 Letter to Shareholders and Financial Results,NEWS_CR,11/09/20,Nektar Therapeutics(NKTR-US) Schedules Society of Immunotherapy of Cancer Meeting for 11-November-2020 4:15 PM ET,FCSTEV,11/18/20,"Glancy Prongay & Murray LLP, a Leading Securities Fraud Law Firm, Announces Investigation of Supernus Pharmaceuticals, Inc. (SUPN) on Behalf of Investors",BW,10/20/20,Tesla's Musk Promises a Next Generation HVAC and Filtration System - Freedonia Group Feedback,PRN,11/09/20,DJ Press Release: Zogenix Provides Corporate Update and Reports Third Quarter 2020 Financial Results,DJGM,,,,,,,,,,
11/13/20,3128.81,276.95,1772.26,72.35,89.39,482.84,17.27,23.01,408.5,21.6,11/18/20,Amazon e Global Optimism d‹o as boas-vindas ˆ Henkel e Signify no The Climate Pledge,BW,11/10/20,DJ Press Release: Zendesk and WhatsApp Partner to Enable Powerful Conversational Experiences,DJGM,11/10/20,DJ Press Release: Datadog and Google Cloud Extend Strategic Partnership into New Regions,DJGM,11/13/20,"DJ Press Release: New Data Build on Growing Evidence Supporting TEPEZZA(R) (teprotumumab-trbw) Efficacy in Thyroid Eye Disease (TED), Including in Patients With Less Severe Disease and Longer Disease Duration",DJGM,11/17/20,DJ Press Release: Moderna Announces Supply Agreement -2-,DJGM,10/20/20,DJ Press Release: Netflix Releases Third-Quarter 2020 Financial Results,DJGM,11/09/20,Nektar Therapeutics(NKTR-US) Schedules Society of Immunotherapy of Cancer Meeting - Abstract #355 for 11-November-2020 5:15 PM ET,FCSTEV,11/12/20,DJ Press Release: Supernus to Present at Two November Investor Conferences,DJGM,10/08/20,"Tesla, Inc.(TSLA-US) Schedules Q3 2020 Earnings Call for 21-October-2020 5:30 PM ET",FCSTEV,11/09/20,Zogenix Provides Corporate Update and Reports Third Quarter 2020 Financial Results,PMZ,,,,,,,,,,
11/12/20,3110.28,275.08,1742.82,73.62,87.81,486.77,17.14,21.73,411.76,20.7,11/18/20,Amazon y Global Optimism les dan la bienvenida a Henkel y Signify a The Climate Pledge,BW,11/03/20,The $110 Trillion Trend Wall Street Can't Ignore,PRN,11/10/20,"Alphabet, Inc.(GOOGL-US) Schedules RBC Capital Markets Global Technology, Internet, Media and Telecommunications Conference for 17-November-2020 4:40 PM ET",FCSTEV,11/13/20,"New Data Build on Growing Evidence Supporting TEPEZZA¨ (teprotumumab-trbw) Efficacy in Thyroid Eye Disease (TED), Including in Patients With Less Severe Disease and Longer Disease Duration",BW,11/17/20,DJ Press Release: Moderna Announces Supply Agreement with United Kingdom Government to Supply mRNA Vaccine Against COVID-19 (mRNA-1273) if Approved for Use,DJGM,10/20/20,Netflix Releases Third-Quarter 2020 Financial Results,PRN,11/09/20,Nektar Therapeutics(NKTR-US) Schedules Society of Immunotherapy of Cancer Meeting - Abstract 451 for 11-November-2020 5:15 PM ET,FCSTEV,11/12/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies Healthcare Conference for 17-November-2020 1:45 PM ET",FCSTEV,10/08/20,"Tesla, Inc.(TSLA-US) Schedules Q3 2020 Earnings Release for 21-October-2020 After Market Hours ET",FCSTEV,11/09/20,"Zogenix, Inc. to Host Earnings Call",NEWS_ACW,,,,,,,,,,
11/11/20,3137.39,276.48,1747.23,76.19,82.44,490.76,17.11,21.33,417.13,20.86,11/18/20,Amazon and Global Optimism Welcome Henkel and Signify to The Climate Pledge,BW,10/29/20,DJ Press Release: Facebook Reports Third Quarter -3-,DJGM,11/03/20,The $110 Trillion Trend Wall Street Can't Ignore,PRN,11/13/20,DJ Press Release: Horizon Therapeutics plc CEO Tim Walbert Honored with RARE Champion Award at Global Genes Champions of Hope Gala,DJGM,11/17/20,Diagnostic Testing Remains Vital as New Treatment Breakthroughs are Announced,PRN,10/20/20,"Telefilm Canada Joins Netflix, the National Bank and Canada Media Fund as a Major Partner of the Fabienne Colas Foundation's Being Black in Canada Program",CNW,11/09/20,DJ Press Release: Nektar Therapeutics to Host -2-,DJGM,11/12/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Stifel Healthcare Conference for 16-November-2020 9:20 AM ET",FCSTEV,10/08/20,Tesla Announces Date for Third Quarter 2020 Financial Results and Webcast,PMZ,10/29/20,DJ Press Release: Zogenix Announces Date Change for Third Quarter 2020 Financial Results and Conference Call and Webcast to November 9,DJGM,,,,,,,,,,
11/10/20,3035.02,272.43,1737.72,72.3,76.05,480.24,16.84,21.08,410.36,21.73,11/18/20,DJ Press Release: Amazon and Global Optimism Welcome Henkel and Signify to The Climate Pledge,DJGM,10/29/20,DJ Press Release: Facebook Reports Third Quarter -2-,DJGM,11/02/20,"DJ Press Release: Over The Top Market Highlights | 8*8 Inc., Alphabet Inc., and Apple Inc. to Emerge as Key Vendors | Technavio",DJGM,11/13/20,Horizon Therapeutics plc CEO Tim Walbert Honored with RARE Champion Award at Global Genes Champions of Hope Gala,BW,11/16/20,Moderna's COVID-19 Vaccine Candidate Meets its Primary Efficacy Endpoint in the First Interim Analysis of the Phase 3 COVE Study,BW,10/09/20,"DJ Moody's Announces Completion Of A Periodic Review Of Ratings Of Netflix, Inc.",DJGM,11/09/20,DJ Press Release: Nektar Therapeutics to Host Webcast Conference Call for Analysts & Investors with Expert Oncologist Panel During 2020 Society for Immunotherapy of Cancer (SITC) 35th Annual Meeting,DJGM,11/11/20,Supernus to Present at Two November Investor Conferences,PMZ,10/02/20,Tesla Q3 2020 Vehicle Production & Deliveries,PMZ,10/29/20,Zogenix Announces Date Change for Third Quarter 2020 Financial Results and Conference Call and Webcast to November 9,PMZ,,,,,,,,,,
11/9/20,3143.74,278.77,1761.42,71.32,77.74,470.5,17.09,24.95,421.26,23.1,11/17/20,AWS Announces General Availability of AWS Network Firewall,BW,10/29/20,DJ Press Release: Facebook Reports Third Quarter 2020 Results,DJGM,10/30/20,"DJ Press Release: Google Blocks No on Prop 24 Ads, Runs Yes on 24 Ads",DJGM,11/12/20,Horizon Therapeutics Plc(HZNP-US) Schedules Jefferies Healthcare Conference for 17-November-2020 12:35 PM ET,FCSTEV,11/16/20,DJ Press Release: Moderna's COVID-19 Vaccine -2-,DJGM,09/22/20,DJ Press Release: Xilam Animation's CGI Slapstick Comedy Trico Heading to Netflix,DJGM,11/09/20,Nektar Therapeutics to Host Webcast Conference Call for Analysts & Investors with Expert Oncologist Panel During 2020 Society for Immunotherapy of Cancer (SITC) 35th Annual Meeting,PRN,11/09/20,DJ Press Release: Supernus Provides Regulatory Updates for SPN-812 and SPN-830,DJGM,10/01/20,"Tesla, Inc.(TSLA-US) Schedules Q3 2020 Sales and Revenue Release for 2-October-2020 7:59 AM ET",FCSTEV,10/26/20,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2020 Earnings Call for 9-November-2020 4:30 PM ET",FCSTEV,,,,,,,,,,
